date_submitted,ideal_adoption_timeline,reason_for_adoption,specific_animal,adults_in_home,children_in_home,all_household_agree,allergies,home_owner,home_pet_policy,experience,budget_monthly,budget_emergency,home_alone_avg,home_alone_max,pet_kept,exercise,needs,return_pet,how_heard,outcome_trello_id,City,State,ZIP,animal_type
12/31/2018,today,"myself,other",FALSE,1,0,yes,mildly-allergic,company,yes,"euthanized-a-pet,grew-up-with-pet",150,1e3,6,6,"inside-only,leash-harness","toy-mice,wand-toys","nail-clip,scratching-post",none,NA,NA,PHILADELPHIA,PA,19107,cat
12/31/2018,today,myself,FALSE,1,0,yes,no-allergies,company,havent-asked,given-pet-to-another,120,220,4,6,inside-only,"wand-toys,toy-mice","scratching-post,nail-clip","new-baby,not-enough-time",NA,NA,PHILADELPHIA,PA,19103,cat
12/31/2018,today,myself,TRUE,1,0,yes,no-allergies,myself,NA,"given-pet-to-another,pet-died-in-care,euthanized-a-pet,grew-up-with-pet,currently-have-pet,currently-pets-in-my-home-but-not-mine",125,3e3,NA,3,inside-only,"toy-mice,wand-toys,other-pets","nail-clip,scratching-post","none,becomes-aggressive",other,5bfecbeaf9c3e187eb632753,PHILADELPHIA,PA,19104,cat
12/31/2018,today,myself,TRUE,1,0,yes,no-allergies,family-member-or-friend,NA,"euthanized-a-pet,grew-up-with-pet,currently-have-pet,lived-wit-previous-housemates-pets",150,500,7,10,leash-harness,"other-pets,toy-mice",scratching-post,none,website,NA,PHILADELPHIA,PA,19143,cat
12/31/2018,one-month-or-more,myself,TRUE,1,0,yes,no-allergies,myself,NA,"grew-up-with-pet,currently-have-pet",75,1e3,10,12,inside-only,"toy-mice,wand-toys,other-pets","scratching-post,nail-clip",becomes-aggressive,other,NA,PHILADELPHIA,PA,19134,cat
12/30/2018,today,myself,TRUE,0,0,yes,no-allergies,myself,NA,currently-have-pet,200,2e3,8,18,inside-only,"toy-mice,wand-toys,other-pets",nail-clip,becomes-aggressive,website,NA,PHILADELPHIA,PA,19129,cat
12/30/2018,today,myself,TRUE,1,0,yes,not-sure,company,yes,"grew-up-with-pet,lived-wit-previous-housemates-pets,given-pet-to-another",600,1e4,0,8,inside-only,"toy-mice,wand-toys,other-pets","scratching-post,not-sure",allergies-appear,other,NA,PHILADELPHIA,PA,19102,cat
12/30/2018,one-month-or-more,myself,TRUE,1,0,yes,no-allergies,myself,NA,"euthanized-a-pet,grew-up-with-pet,currently-have-pet",100,5e3,8,9,inside-only,"toy-mice,wand-toys,other-pets","nail-clip,scratching-post",other,twitter,NA,FORT WASHINGTON,PA,19034,cat
12/30/2018,one-month-or-more,myself,TRUE,3,1,yes,no-allergies,company,yes,"grew-up-with-pet,currently-have-pet,euthanized-a-pet",300,500,NA,NA,inside-only,not-much,scratching-post,none,website,NA,FOLCROFT,PA,19032,cat
12/30/2018,one-month-or-more,myself,TRUE,2,0,yes,no-allergies,family-member-or-friend,NA,"grew-up-with-pet,currently-have-pet",100,2e3,10,10,"inside-only,leash-harness","other-pets,toy-mice,wand-toys",scratching-post,none,website,5c1e5dd32ad6ee7c5e9e0926,PHILADELPHIA,PA,19146,cat
