"","date_submitted","ideal_adoption_timeline","reason_for_adoption","specific_animal","adults_in_home","children_in_home","all_household_agree","allergies","home_owner","home_pet_policy","experience","budget_monthly","budget_emergency","home_alone_avg","home_alone_max","pet_kept","exercise","needs","return_pet","how_heard","outcome_trello_id","STATEFP","COUNTYFP","TRACTCE","GEOID","NAME","NAMELSAD","MTFCC","FUNCSTAT","ALAND","AWATER","INTPTLAT","INTPTLON","City","State","ZIP"
"1","12/31/2018","today","myself,other",FALSE,"1",0,"yes","mildly-allergic","company","yes","euthanized-a-pet,grew-up-with-pet","$150.00 ","$1,000.00 ","6 h","6 h","inside-only,leash-harness","toy-mice,wand-toys","nail-clip,scratching-post","none","",NA,42,101,600,42101000600,6,"Census Tract 6","G5020","S",172652,0,39.9493845,-75.1583355,"Philadelphia ","PA","19107"
"2","12/31/2018","today","myself",FALSE,"1",0,"yes","no-allergies","company","havent-asked","given-pet-to-another","$120.00 ","$220.00 ","4 h","6 h","inside-only","wand-toys,toy-mice","scratching-post,nail-clip","new-baby,not-enough-time","",NA,42,101,700,42101000700,7,"Census Tract 7","G5020","S",246683,7087,39.9510463,-75.1729143,"Philadelphia","PA","19103"
"3","12/31/2018","today","myself",TRUE,"1",0,"yes","no-allergies","myself","","given-pet-to-another,pet-died-in-care,euthanized-a-pet,grew-up-with-pet,currently-have-pet,currently-pets-in-my-home-but-not-mine","$125.00 ","$3,000.00 ",NA,"3 h","inside-only","toy-mice,wand-toys,other-pets","nail-clip,scratching-post","none,becomes-aggressive","other","5bfecbeaf9c3e187eb632753",42,101,8701,42101008701,87.01,"Census Tract 87.01","G5020","S",259546,0,39.953566,-75.2104986,"Philadelphia","PA","19104"
"4","12/31/2018","today","myself",TRUE,"1",0,"yes","no-allergies","family-member-or-friend","","euthanized-a-pet,grew-up-with-pet,currently-have-pet,lived-wit-previous-housemates-pets","$150.00 ","$500.00 ","7 h","10 h","leash-harness","other-pets,toy-mice","scratching-post","none","website",NA,42,101,7400,42101007400,74,"Census Tract 74","G5020","S",675931,0,39.9408575,-75.2143067,"Philadelphia","PA","19143"
"5","12/31/2018","one-month-or-more","myself",TRUE,"1",0,"yes","no-allergies","myself","","grew-up-with-pet,currently-have-pet","($75.00)","$1,000.00 ","10 h","12 h","inside-only","toy-mice,wand-toys,other-pets","scratching-post,nail-clip","becomes-aggressive","other",NA,42,101,17900,42101017900,179,"Census Tract 179","G5020","S",714138,0,39.9870535,-75.1139355,"Philadelphia","PA","19134"
"6","12/30/2018","today","myself",TRUE,"0",0,"yes","no-allergies","myself","","currently-have-pet","$200.00 ","$2,000.00 ","8h","18h","inside-only","toy-mice,wand-toys,other-pets","nail-clip","becomes-aggressive","website",NA,42,101,20700,42101020700,207,"Census Tract 207","G5020","S",1424663,94030,40.0126929,-75.1944867,"Philadelphia ","PA","19129"
"7","12/30/2018","today","myself",TRUE,"1",0,"yes","not-sure","company","yes","grew-up-with-pet,lived-wit-previous-housemates-pets,given-pet-to-another","$600.00 ","$10,000.00 ","0 h","8 h","inside-only","toy-mice,wand-toys,other-pets","scratching-post,not-sure","allergies-appear","other",NA,42,101,12500,42101012500,125,"Census Tract 125","G5020","S",864871,32791,39.9613701,-75.1720837,"Philadelphia","PA","19102"
"8","12/30/2018","one-month-or-more","myself",TRUE,"1",0,"yes","no-allergies","myself","","euthanized-a-pet,grew-up-with-pet,currently-have-pet","$100.00 ","$5,000.00 ","8 h","9 h","inside-only","toy-mice,wand-toys,other-pets","nail-clip,scratching-post","other","twitter",NA,42,91,203000,42091203000,2030,"Census Tract 2030","G5020","S",16743142,0,40.1247967,-75.2326356,"Fort Washington","PA","19034"
"9","12/30/2018","one-month-or-more","myself",TRUE,"3",1,"yes","no-allergies","company","yes","grew-up-with-pet,currently-have-pet,euthanized-a-pet","$300.00 ","$500.00 ",NA,NA,"inside-only","not-much","scratching-post","none","website",NA,42,45,403402,42045403402,4034.02,"Census Tract 4034.02","G5020","S",2286703,455833,39.8872928,-75.2731232,"Folcroft ","PA","19032"
"10","12/30/2018","one-month-or-more","myself",TRUE,"2",0,"yes","no-allergies","family-member-or-friend","","grew-up-with-pet,currently-have-pet","$100.00 ","$2,000.00 ","10 h","10 h","inside-only,leash-harness","other-pets,toy-mice,wand-toys","scratching-post","none","website","5c1e5dd32ad6ee7c5e9e0926",42,101,3100,42101003100,31,"Census Tract 31","G5020","S",395908,0,39.9323428,-75.1779572,"Philadelphia ","PA","19146"
