"","date_submitted","ideal_adoption_timeline","reason_for_adoption","specific_animal","adults_in_home","children_in_home","all_household_agree","allergies","home_owner","home_pet_policy","experience","budget_monthly","budget_emergency","home_alone_avg","home_alone_max","pet_kept","exercise","needs","return_pet","how_heard","outcome_trello_id","STATEFP","COUNTYFP","TRACTCE","GEOID","NAME","NAMELSAD","MTFCC","FUNCSTAT","ALAND","AWATER","INTPTLAT","INTPTLON","City","State","ZIP"
"1","08/31/2018","few-months","",FALSE,1,0,"yes","no-allergies","myself","","given-to-shelter,had-pet-die,euthanized,grew-up-with,currently-have-pet","$100.00","$1,000.00","10 h","5 h","inside-only,supervised-in-my-yard","","","not-housebroken","","5b89e396cddac742c77ec9f4",42,101,4202,42101004202,42.02,"Census Tract 42.02","G5020","S",453345,0,39.916857,-75.1516284,"Philadelphia ","PA",19148
"2","08/31/2018","few-weeks","",FALSE,1,0,"yes","no-allergies","landlord","no-but-pets-allowed","grew-up-with,currently-have-pet","$4,000.00","$4,000.00","5h","5h","inside-only","","","not-allowed-new-living-space,becomes-aggressive,moving-too-far","","5b89ddd88b2285259eb43343",42,101,6200,42101006200,62,"Census Tract 62","G5020","S",509635,0,39.9194134,-75.2335257,"Philadelphia ","PA",19142
"3","08/31/2018","few-weeks","",TRUE,1,0,"yes","no-allergies","landlord","yes-with-pet-policy","never-lived-or-owned","$200.00","$100.00","8 h",NA,"inside-only","","","becomes-aggressive,not-housebroken","","5b897b38b32b418a5c9528c3",42,101,33600,42101033600,336,"Census Tract 336","G5020","S",1153477,0,40.0614797,-75.0592347,"Philadelphia","PA",19111
"4","08/31/2018","few-weeks","",FALSE,0,0,"yes","no-allergies","myself","","grew-up-with,had-pet-die","$1,000.00","$5,000.00","7 h","7 h","inside-only","","","becomes-aggressive","","5b897a96e4d6a32da21f1b41",42,101,12500,42101012500,125,"Census Tract 125","G5020","S",864871,32791,39.9613701,-75.1720837,"Philadelphia ","PA",19130
"5","09/01/2018","few-months","",FALSE,0,2,"yes","no-allergies","myself","","never-lived-or-owned","$204.00","$204.00",NA,NA,"inside-only","","","none","","5b8b4b0ce21b413f6aa69dc6",42,101,16400,42101016400,164,"Census Tract 164","G5020","S",485081,0,39.9896435,-75.1431669,"Philadelphia","PA",19133
"6","09/02/2018","few-months","",TRUE,3,0,"it-s-a-surprise","no-allergies","family-friend","","grew-up-with,currently-have-pet","$200.00","$400.00","4 h","6h","supervised-in-my-yard,inside-only","","","becomes-aggressive","","5b92d5c1b89b865fa7f3e8b7",42,17,105206,42017105206,1052.06,"Census Tract 1052.06","G5020","S",7100365,10419,40.2495614,-74.9150631,"Milford","NJ",18977
"7","09/02/2018","few-months","",FALSE,1,0,"yes","no-allergies","myself","","euthanized,grew-up-with,currently-have-pet","$500.00","$5,000.00",NA,"6 h","inside-only","","","none","","5c0ac858ce18b341bcec1b79",42,101,33702,42101033702,337.02,"Census Tract 337.02","G5020","S",1057798,0,40.0707532,-75.0578212,"Philadelphia ","PA",19152
"8","09/02/2018","few-weeks","",FALSE,2,1,"yes","no-allergies","myself","","given-to-shelter,grew-up-with","$250.00","$200.00",NA,NA,"inside-only,crate","","","vet-becomes-expensive,becomes-aggressive","","5b9c4d5a3d3c738f044dbe3f",42,101,31000,42101031000,310,"Census Tract 310","G5020","S",1063411,0,40.0497292,-75.0744541,"Philadelphia","PA",19111
"9","09/02/2018","few-months","",TRUE,2,0,"it-s-a-surprise","no-allergies","family-friend","","currently-have-pet,grew-up-with","$200.00","$400.00","4 h","4h","inside-only,supervised-in-my-yard","","","becomes-aggressive","",NA,42,17,105400,42017105400,1054,"Census Tract 1054","G5020","S",55037129,1423384,40.2959884,-74.9332019,"Washington crossing ","PA",18977
"10","09/03/2018","few-weeks","",FALSE,3,0,"yes","no-allergies","landlord","not-applicable","grew-up-with","$100.00","$150.00",NA,"4 h","supervised-in-my-yard,crate","","","becomes-aggressive","","5b8eb4f35c79cb29b924a7fa",42,101,20800,42101020800,208,"Census Tract 208","G5020","S",895387,0,40.0213962,-75.1935432,"Philadelphia","PA",19144
"11","09/03/2018","few-months","",FALSE,1,0,"yes","no-allergies","landlord","yes-with-pet-policy","grew-up-with,lived-with-housemate-pet","$300.00","$2,000.00","6 h","10 h","supervised-in-my-yard,crate,other","","","none","","5b8de67163bd292758be2293",42,101,1700,42101001700,17,"Census Tract 17","G5020","S",221571,0,39.9377594,-75.1483123,"Philadelphia","PA",19147
"12","09/03/2018","today","",FALSE,3,0,"yes","no-allergies","family-friend","","grew-up-with,currently-have-pet","$10,000.00","$10,000.00",NA,NA,"inside-only","","","none","","5b8dcdcc6d49224a8b0b447d",42,17,101405,42017101405,1014.05,"Census Tract 1014.05","G5020","S",3495737,0,40.1523976,-74.9865505,"Trevose ","PA",19053
"13","09/03/2018","few-months","",FALSE,1,0,"yes","no-allergies","landlord","no-but-pets-allowed","grew-up-with,lived-with-housemate-pet","$70.00","$500.00","6 h","8 h","inside-only","","","none","","5b56113b6f0e3e09eb98dadb",42,101,2500,42101002500,25,"Census Tract 25","G5020","S",398698,0,39.934296,-75.1498023,"Philadelphia","PA",19147
"14","09/03/2018","today","",TRUE,4,0,"yes,it-s-a-surprise","no-allergies","family-friend","","grew-up-with,currently-have-pet","$100.00","$300.00",NA,NA,"inside-only","","","none","","5b8db18793e4a742a9d86155",42,91,200502,42091200502,2005.02,"Census Tract 2005.02","G5020","S",3380853,0,40.1827904,-75.1308176,"Horsham","PA",19044
"15","09/03/2018","few-weeks","",FALSE,2,0,"yes","no-allergies","myself","","euthanized","$300.00","$1,000.00","10 h","10 h","inside-only,unsupervised-access-to-my-yard-9doggie-door-etc","","","becomes-aggressive","","5b8db14f82a6d969470d3ee6",42,101,31900,42101031900,319,"Census Tract 319","G5020","S",773212,0,40.0230596,-75.0648989,"Philadelphia","PA",19135
"16","09/03/2018","few-weeks","",TRUE,2,0,"yes","no-allergies","family-friend","","grew-up-with,currently-have-pet","$180.00","$100.00","9 h","9 h","inside-only","","","vet-becomes-expensive,moving-too-far","","5b8db1065487ed334aac9f72",42,101,8101,42101008101,81.01,"Census Tract 81.01","G5020","S",243881,0,39.9483645,-75.2360472,"Philadelphia","PA",19143
"17","09/03/2018","few-weeks","",FALSE,0,1,"yes","no-allergies","myself","","euthanized,grew-up-with","$200.00","$1,000.00",NA,"6 h","supervised-in-my-yard,crate,inside-only,outside-only","","","none","",NA,42,101,18002,42101018002,180.02,"Census Tract 180.02","G5020","S",439791,0,39.9836344,-75.1067096,"Philadelphia","PA",19134
"18","09/04/2018","few-months","other",FALSE,1,0,"yes","no-allergies","myself","","grew-up-with,currently-have-pet","$400.00","$5,000.00","8 h","5 h","inside-only,crate","walks-on-leash,playing-in-my-yard,not-much","professional-groomer,groom-myself","other","","5b9094ff7cdf3b0c55ac95cb",42,17,106500,42017106500,1065,"Census Tract 1065","G5020","S",33623367,197139,40.4701339,-75.3395077,"Richlandtown","PA",18955
"19","09/04/2018","few-months","myself",FALSE,2,1,"yes","mildly-allergic","myself","","grew-up-with,euthanized","$40.00","$500.00","6 h","6 h","inside-only,supervised-in-my-yard","walks-on-leash,playing-in-my-yard,another-pet,jogging-together","professional-groomer,groom-myself","becomes-aggressive","","5b9094c32e284d5b333aa550",42,101,34701,42101034701,347.01,"Census Tract 347.01","G5020","S",1148286,57,40.0645576,-75.0329783,"Philadelphia ","PA",19152
"20","09/04/2018","few-weeks","myself",TRUE,1,0,"yes","no-allergies","landlord","yes-with-pet-policy","grew-up-with,euthanized","$250.00","$5,000.00","6 h","6 h","inside-only","walks-on-leash,jogging-together,dog-parks","professional-groomer,groom-myself","becomes-aggressive","website","5b90945fbfcc9d7a0a38dfa9",42,101,8802,42101008802,88.02,"Census Tract 88.02","G5020","S",394307,0,39.9529537,-75.2027666,"Philadelphia","PA",19104
"21","09/04/2018","few-weeks","myself",FALSE,1,0,"yes","no-allergies","landlord","yes-with-pet-policy","had-pet-die,euthanized,grew-up-with,currently-have-pet,pet-ran-away","$400.00","$400.00","7 h","8 h","inside-only","walks-on-leash,jogging-together,dog-parks,walks-off-leash","groom-myself","none","","5b90941639cccd595f1d9813",42,101,9000,42101009000,90,"Census Tract 90","G5020","S",434900,0,39.9595247,-75.1906334,"Philadelphia ","PA",19104
"22","09/04/2018","today","myself",TRUE,-1,0,"yes","no-allergies","myself","","currently-have-pet","$200.00","$4,000.00","4 h","4 h","inside-only","walks-on-leash,jogging-together,playing-in-my-yard,another-pet","groom-myself","none","website","5b8ef4cbf381980ac0bd159f",42,101,4101,42101004101,41.01,"Census Tract 41.01","G5020","S",374000,0,39.9229611,-75.1589741,"Philadelphia","PA",19149
"23","09/04/2018","today","myself",TRUE,2,0,"yes,it-s-a-surprise","no-allergies","myself","","grew-up-with,currently-have-pet","$125.00","$0.00","6 h","6 h","inside-only,supervised-in-my-yard","walks-on-leash,jogging-together,playing-in-my-yard,another-pet","groom-myself","none","","5b8ed8cca4ee684f092344ed",42,77,6002,42077006002,60.02,"Census Tract 60.02","G5020","S",22376400,254401,40.6180364,-75.5710889,"Allentown","PA",18104
"24","09/04/2018","few-weeks","",TRUE,0,0,"yes","no-allergies","landlord","yes-with-pet-policy","grew-up-with","$60.00","$2,000.00","8 h","6 h","inside-only","","","vet-becomes-expensive,becomes-aggressive,not-housebroken,moving-too-far","","5b8ed8fb78b59521b7cca4ea",42,101,9000,42101009000,90,"Census Tract 90","G5020","S",434900,0,39.9595247,-75.1906334,"Philadelphia","PA",19104
"25","09/05/2018","today","myself,my-kids",TRUE,2,1,"yes","no-allergies","myself","","grew-up-with","$60.00","$250.00",NA,NA,"inside-only","dog-parks","professional-groomer","becomes-aggressive","website","5b9095ba44fb0f74b36fe915",42,101,7102,42101007102,71.02,"Census Tract 71.02","G5020","S",415761,0,39.9409204,-75.2282511,"Philadelphia","PA",19143
"26","09/05/2018","few-months","myself",FALSE,0,0,"yes","no-allergies","landlord","no-but-pets-allowed","grew-up-with,euthanized,given-to-shelter,currently-have-pet,lived-with-housemate-pet","$200.00","$1,500.00","8 h","8 h","inside-only","walks-on-leash,dog-parks,another-pet","groom-myself","becomes-aggressive","","5b909558391e206a759c3d77",42,91,202100,42091202100,2021,"Census Tract 2021","G5020","S",1498337,0,40.0962794,-75.129623,"Jenkintown","PA",19046
"27","09/05/2018","few-months","myself",TRUE,1,0,"yes","no-allergies","landlord","yes-with-pet-policy","grew-up-with,currently-have-pet","$400.00","$3,000.00","1 h",NA,"inside-only","walks-on-leash,jogging-together,dog-parks,another-pet,not-much","professional-groomer","none","website","5b909580532d8f17bd3385bd",42,101,2500,42101002500,25,"Census Tract 25","G5020","S",398698,0,39.934296,-75.1498023,"Philadelphia","PA",19147
"28","09/05/2018","today","myself",TRUE,2,0,"yes","no-allergies","family-friend","","grew-up-with","$100.00","$100.00","2 h","2 h","inside-only","playing-in-my-yard,walks-on-leash","professional-groomer","none","website","5b9095306492373a295a6a68",42,45,406700,42045406700,4067,"Census Tract 4067","G5020","S",2777937,0,39.8219061,-75.4324192,"linwood","PA",19061
"29","09/06/2018","few-weeks","myself",TRUE,1,0,"yes","no-allergies","landlord","yes-with-pet-policy","grew-up-with","$200.00","$1,500.00","6 h","10 h","inside-only","walks-on-leash,playing-in-my-yard,dog-parks","groom-myself","none","website","5b92d5fe17852186991bf72c",42,91,202301,42091202301,2023.01,"Census Tract 2023.01","G5020","S",2793014,0,40.0770897,-75.1227333,"Elkins Park","PA",19027
