"GEOID","tract_unemployment_pct","tract_commute_public_transit","tract_median_income","tract_mean_income","tract_poverty_pct"
34001010501,334,26,65050,83079,5.4
34001011202,853,83,58942,75423,13.5
34001011804,314,0,86716,112906,4.2
34001011900,588,440,39098,47428,24
34001012501,34,16,85500,106862,0.5
34003015100,34,124,150938,260181,1.1
34005700102,79,73,81891,89522,10.8
34005700305,60,76,95500,121884,3.2
34005700407,278,195,43830,53232,18.3
34005700503,92,51,155313,219686,2.7
34005700504,92,25,126417,158267,0.3
34005700603,308,34,72819,88984,8.6
34005700800,140,224,79778,92048,4.2
34005701102,274,126,111176,112699,4.6
34005701401,127,165,121941,134994,1.7
34005701700,147,51,76250,87132,5.7
34005702603,112,28,39079,92638,16.1
34005702907,30,46,76979,101713,2.4
34005702914,166,111,97132,119535,8.4
34005702915,184,114,91250,104801,5.3
34005702918,31,23,82837,99009,1.2
34005703000,100,81,97420,130279,7.5
34005703804,214,150,127233,181532,1.8
34005704006,76,23,92125,106065,6.5
34005704009,190,47,89844,106381,4
34005704302,191,196,141970,154454,1.7
34005704500,219,25,57240,73995,9.7
34005704600,261,46,40833,67628,26.5
34007600900,361,90,23810,36042,51.6
34007601300,233,273,22217,34862,32.8
34007601400,259,277,32303,40094,31.4
34007601500,238,205,18277,29306,33.4
34007601700,160,167,12629,22493,48
34007601900,163,157,20232,34861,41.8
34007602000,367,586,31823,38665,35.7
34007602902,209,96,61667,68584,18
34007603002,190,114,70921,73949,10.9
34007603200,204,229,75951,112086,6.6
34007603302,297,242,95778,101808,11.6
34007603303,94,78,50781,66847,22
34007603400,323,201,73625,87677,6
34007603505,79,163,110341,118454,2.8
34007603700,145,127,76310,87056,6.1
34007603800,203,340,105096,117119,4.1
34007603902,54,209,72083,89547,3.5
34007604200,77,205,71944,89742,2.6
34007604300,92,206,83864,103953,4.2
34007604400,31,224,84131,110765,7.6
34007605400,91,0,60774,79363,12.7
34007605700,155,123,81524,96285,5.6
34007606500,287,98,64103,69442,21
34007606600,29,126,76250,96669,7.4
34007606800,177,127,63796,73485,16
34007607200,237,68,46576,57403,14.7
34007607502,222,163,86473,103314,4.6
34007607503,167,212,104257,149335,4.2
34007607506,140,236,81843,89680,9.6
34007607507,265,210,47958,66072,13
34007607802,74,103,72083,72550,8.1
34007608206,149,49,84667,92372,7.6
34007608210,184,147,47404,65179,12.6
34007608303,133,98,68045,78299,14.7
34007608304,87,120,65864,82246,8.9
34007608403,210,214,102925,103237,8.5
34007608700,227,137,90354,102618,6.2
34007608904,54,26,93125,93602,5
34007609201,178,109,62083,69961,11.3
34007610400,204,167,22472,35175,46.8
34007610500,434,315,82906,84477,16.1
34007610900,143,88,63750,77933,5.9
34009021400,262,97,30433,54157,32.3
34009021803,108,0,47679,68620,15.6
34011040901,68,0,57665,70114,15
34013014000,247,258,89531,103572,3.4
34013015800,179,354,64000,86925,12.2
34013019600,214,811,105000,116560,6.4
34013021803,186,81,97279,133565,2.9
34015500203,157,56,73371,90689,9.7
34015500300,111,19,61397,70829,8.6
34015500701,327,60,88810,99009,5.6
34015500702,116,40,95066,128635,1.7
34015500900,134,39,80444,94696,3
34015501001,85,4,81216,81376,11.7
34015501102,298,86,91742,108553,4.5
34015501201,252,63,118417,130022,0.5
34015501202,216,142,116801,133343,1.1
34015501204,93,10,90446,102296,1.3
34015501208,172,33,79111,95782,2.7
34015501402,277,80,34944,54174,35.8
34015501403,118,19,82556,88338,13.8
34015501605,158,57,65660,81335,8.5
34015501608,199,29,66277,71771,9.3
34015501800,73,4,74226,90949,6.1
34015502400,179,12,105804,114707,5.1
34019011301,134,74,144250,153240,1.9
34019011303,132,0,84052,107402,4.2
34021000700,274,153,41976,56876,19.5
34021001300,290,89,83125,93226,10.9
34021001700,239,207,23063,37943,35.2
34021002800,404,239,59811,71972,14
34021003001,178,51,96818,116268,2.1
34021003004,113,95,76156,86861,5.9
34021003302,165,315,116101,134894,3.9
34021003500,149,123,57072,63181,13.5
34021004309,136,149,137989,152329,3.4
34021004310,222,351,136750,158197,0.4
34023002603,196,609,90313,96532,6.4
34023002703,228,171,65049,78706,4.5
34023003102,118,321,91231,98982,7.6
34023006203,343,536,102625,130172,7.4
34023008403,112,650,127411,152696,5.1
34025809701,176,391,158409,203912,1.8
34029717300,111,68,108615,119441,5.4
34029720206,149,12,55962,69870,4.1
34029722401,250,17,77688,99474,7.6
34029732104,139,17,64302,89611,8.6
34029736101,96,19,60642,85542,3.8
34031182600,193,352,49469,71830,15.6
34041032300,115,13,74888,89434,7.2
34041032400,71,6,68788,85093,6
42003522000,153,153,35250,48812,21.6
42007605400,102,20,32711,42134,27.5
42011010600,265,15,79964,123991,4.9
42011011701,130,19,88319,95036,2.5
42011012002,255,91,74367,90749,4.3
42017100102,54,149,52929,73194,9.4
42017100103,146,56,47068,58244,9.1
42017100105,130,7,56832,73547,8.9
42017100201,162,55,66741,75061,5.7
42017100206,132,34,81188,103673,4.7
42017100208,183,73,37356,51746,20.4
42017100209,272,207,68611,87582,6.2
42017100210,229,172,72026,84530,8.9
42017100307,447,57,46250,60392,14.3
42017100401,308,136,60784,76144,3.4
42017100402,376,160,68988,71605,13.1
42017100600,79,13,50089,63785,14.3
42017100700,18,40,37917,57492,21.9
42017100803,128,56,75625,86410,5.4
42017100805,183,96,81806,92448,3.7
42017100900,256,92,88741,108774,4.4
42017101401,186,109,86964,98417,2.2
42017101403,90,103,90357,96771,3.7
42017101405,188,191,66989,83568,4.3
42017101504,22,35,61000,92855,4.1
42017101505,42,138,100463,129185,2.7
42017101603,195,79,68209,78005,12.9
42017101611,218,201,95168,108028,1.4
42017101802,90,103,148884,162304,6.3
42017101803,93,64,88926,106668,5.3
42017102300,187,41,79082,99065,10.5
42017102402,103,11,75231,89144,5
42017102500,84,0,66063,81146,9.1
42017103103,222,34,51827,60257,11.4
42017103400,49,0,73550,88661,3.1
42017104502,196,57,105455,150843,2.3
42017104701,72,61,49173,76755,9.7
42017105003,68,121,122250,141341,1
42017105009,80,82,71053,93379,5.7
42017105010,170,118,98839,118212,4
42017105011,76,90,96635,137662,5.4
42017105206,95,185,125486,160709,2.3
42017105300,27,39,116667,146181,3.7
42017105400,168,176,152981,235166,7.8
42017105505,106,180,153177,187333,0.6
42017105506,123,192,182566,229264,2
42017105507,159,325,144167,158955,0.9
42017105702,175,72,57328,69188,9
42017105704,391,130,74493,92391,4.6
42017105805,150,63,60385,69136,6
42017105808,90,29,70740,86983,3.3
42017105900,75,23,64250,74505,10.9
42017106000,296,26,80658,91584,2.2
42017106500,313,36,65438,79231,4.9
42017106600,71,8,79688,101981,3.7
42025020700,184,0,57788,70207,10
42029300108,212,520,112403,140112,6.2
42029300501,74,160,168261,209485,2.3
42029300600,119,83,89360,100004,7.9
42029300700,323,13,55399,68460,9.5
42029301000,216,15,97764,114904,3.6
42029301402,150,8,93393,125532,4.3
42029302202,39,72,91193,117734,4
42029302300,73,36,76146,87931,13.5
42029302702,121,72,70385,90395,8.7
42029302703,112,53,111544,142634,2.1
42029302804,43,40,104620,182372,2.7
42029302901,94,29,103681,130486,2.1
42029303801,198,69,95313,116984,4.7
42029304000,166,188,86983,137055,1.5
42029304502,89,30,134777,159482,1.3
42029304600,85,42,120598,143950,2.1
42029305300,364,112,70135,81888,8.9
42029305700,93,118,52764,58721,14.3
42029306000,206,79,91141,99614,3.3
42029311300,44,29,146875,192507,2.5
42029311403,94,23,96125,101910,4
42029311700,147,76,84800,109776,7
42029311800,154,19,63603,79806,8.2
42037051300,53,1,50714,61525,12.5
42045400301,317,891,32635,41217,24.2
42045400302,253,429,48314,49452,17.6
42045400402,102,821,35387,48021,23.1
42045400500,139,427,48750,56203,27.1
42045400600,324,264,51893,67672,5.7
42045400700,246,723,61463,79901,17.5
42045400801,113,322,34801,48560,14.6
42045400802,191,407,64250,82589,12.8
42045401401,94,174,63450,71039,11.7
42045401501,78,105,68917,75479,5.2
42045401502,50,351,53558,66996,10.2
42045401700,81,172,55701,72865,11.2
42045401800,130,377,60729,79313,12.5
42045401900,174,481,63197,83460,6.3
42045402100,258,459,57188,63583,12.5
42045402300,203,256,39859,51552,11.8
42045402400,202,315,33378,43426,36
42045402500,165,425,35077,67475,30.2
42045402600,122,360,44207,54545,16.9
42045402800,123,668,52740,62055,13.2
42045402900,187,228,31935,55742,23.2
42045403101,217,187,52303,58298,16.1
42045403103,120,110,46912,57851,14.7
42045403104,170,188,43456,50922,36.3
42045403200,195,355,65821,74144,3.6
42045403300,218,430,45726,61562,13.4
42045403402,140,55,51958,59290,15.2
42045403502,55,118,59609,70994,12.3
42045403601,207,173,69783,78836,8
42045403701,59,49,59239,75326,10.6
42045403902,75,131,93656,109145,3.9
42045404003,146,273,54236,67374,5.6
42045404004,188,292,72774,92433,7.9
42045404101,132,230,73668,88947,6.3
42045404400,197,47,40865,54722,28
42045405300,214,196,31152,44492,42.5
42045406202,111,102,65678,83096,5.5
42045406401,159,160,44000,51487,24.6
42045406700,284,41,57829,62052,8.5
42045407102,70,128,99205,109671,3.8
42045407401,26,268,132042,185029,2.4
42045407502,145,212,74958,90561,10.2
42045407700,85,108,61141,82078,7.9
42045407804,133,249,108690,116157,2.9
42045408001,71,116,97900,127781,6
42045408500,118,88,95809,119584,4.3
42045408700,82,279,117889,131927,3.1
42045408800,151,272,87813,103728,6.4
42045408900,106,326,106701,141348,2.9
42045409000,102,151,85172,115961,1.2
42045409100,157,195,101488,110945,4.6
42045409500,143,147,99413,110237,1.5
42045409601,73,337,125179,186785,5.2
42045409602,108,258,51480,75037,27.3
42045409802,124,277,134000,211954,14
42045409904,124,32,153393,239419,5.6
42045410200,112,51,123350,172910,2.4
42045410500,228,577,36003,48240,31.7
42045410601,167,174,83906,83125,6
42045410602,74,126,83047,92132,4
42045410800,316,265,96839,122986,5.2
42071000500,171,69,44911,57817,28.4
42071010701,134,41,60152,71746,10.5
42071010801,160,14,68981,85011,2.2
42071011100,159,56,75577,89831,5.9
42071011902,116,37,64886,87425,5.6
42077000500,161,102,30086,41252,31.3
42077005800,119,12,53056,60975,7.9
42077006002,128,79,89631,137958,3.2
42077006600,50,15,71947,79730,1
42079211205,51,17,71094,91987,3.5
42079215504,91,0,68110,78311,8.3
42087960700,56,5,32092,39102,19.1
42089300101,151,0,54552,67914,13
42089300402,329,103,48151,69262,12.2
42091200104,46,119,108971,118371,2.7
42091200200,36,46,105917,138158,5.3
42091200301,253,187,57206,79341,7.9
42091200306,93,40,72663,108939,2.5
42091200307,97,38,54365,64334,7.8
42091200401,124,92,67375,96012,4.2
42091200402,213,149,69954,79088,6.7
42091200502,94,80,61261,75058,4.2
42091200602,266,280,114611,128527,5.9
42091200704,66,52,81488,90848,3.5
42091200800,112,27,58672,71567,7.9
42091200903,125,108,60476,66136,12.4
42091201100,135,126,76803,94528,9.2
42091201203,93,39,81875,159384,4.3
42091201301,176,82,75792,95813,3.3
42091201406,114,172,118750,153479,1.5
42091201407,87,107,97581,110268,4.5
42091201410,45,51,105853,131483,6
42091201411,41,83,90278,120516,4.1
42091201501,88,150,74792,105769,5
42091201603,190,123,72266,86016,10.1
42091201605,73,122,84145,100431,1.7
42091201705,119,218,86232,109593,6.1
42091201706,191,302,82546,98512,9.2
42091201800,121,135,91250,141809,5.9
42091201901,84,211,100118,137278,3.8
42091201902,119,159,84982,110699,3.2
42091202000,91,149,60602,76629,5.5
42091202100,82,407,87361,107843,13.2
