GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - With an Internet subscription,Margin of Error; Total: - With an Internet subscription,Estimate; Total: - With an Internet subscription - Dial-up alone,Margin of Error; Total: - With an Internet subscription - Dial-up alone,"Estimate; Total: - With an Internet subscription - Broadband such as cable, fiber optic, or DSL","Margin of Error; Total: - With an Internet subscription - Broadband such as cable, fiber optic, or DSL",Estimate; Total: - With an Internet subscription - Satellite Internet service,Margin of Error; Total: - With an Internet subscription - Satellite Internet service,Estimate; Total: - With an Internet subscription - Other service,Margin of Error; Total: - With an Internet subscription - Other service,Estimate; Total: - Internet access without a subscription,Margin of Error; Total: - Internet access without a subscription,Estimate; Total: - No Internet access,Margin of Error; Total: - No Internet access
1400000US42001030101,42001030101,"Census Tract 301.01, Adams County, Pennsylvania",979,61,832,65,39,36,653,76,78,29,14,12,31,25,116,52
1400000US42001030102,42001030102,"Census Tract 301.02, Adams County, Pennsylvania",2135,123,1875,134,34,40,1558,168,76,63,16,25,76,51,184,101
1400000US42001030200,42001030200,"Census Tract 302, Adams County, Pennsylvania",1927,94,1394,110,52,24,1139,106,101,38,15,13,15,14,518,79
1400000US42001030300,42001030300,"Census Tract 303, Adams County, Pennsylvania",1512,101,1106,113,30,22,974,110,71,39,28,24,23,20,383,111
1400000US42001030400,42001030400,"Census Tract 304, Adams County, Pennsylvania",2298,162,1849,190,35,39,1616,171,88,65,23,37,81,81,368,134
1400000US42001030500,42001030500,"Census Tract 305, Adams County, Pennsylvania",1454,70,1038,68,16,12,902,70,77,27,14,12,70,36,346,66
1400000US42001030600,42001030600,"Census Tract 306, Adams County, Pennsylvania",1726,137,1289,111,25,23,1114,109,41,30,11,17,35,28,402,100
1400000US42001030700,42001030700,"Census Tract 307, Adams County, Pennsylvania",2635,283,2141,230,19,23,1869,211,253,68,11,10,68,47,426,129
1400000US42001030800,42001030800,"Census Tract 308, Adams County, Pennsylvania",2876,120,2280,111,34,22,1913,106,131,33,5,7,48,18,548,68
1400000US42001030900,42001030900,"Census Tract 309, Adams County, Pennsylvania",2909,159,2002,200,88,55,1616,169,153,76,0,15,119,62,788,157
1400000US42001031000,42001031000,"Census Tract 310, Adams County, Pennsylvania",661,45,540,53,3,7,480,56,16,18,0,10,7,10,114,31
1400000US42001031101,42001031101,"Census Tract 311.01, Adams County, Pennsylvania",2318,144,1650,166,17,29,1400,149,63,52,21,34,33,31,635,160
1400000US42001031102,42001031102,"Census Tract 311.02, Adams County, Pennsylvania",1306,67,1099,85,18,20,989,96,49,35,24,21,64,38,143,60
1400000US42001031201,42001031201,"Census Tract 312.01, Adams County, Pennsylvania",1534,91,1292,89,34,25,1166,91,84,45,0,10,34,34,208,75
1400000US42001031202,42001031202,"Census Tract 312.02, Adams County, Pennsylvania",1008,54,804,47,0,10,749,48,56,27,10,10,21,16,183,48
1400000US42001031203,42001031203,"Census Tract 312.03, Adams County, Pennsylvania",1199,50,1018,53,21,18,916,64,42,21,0,10,19,16,162,41
1400000US42001031300,42001031300,"Census Tract 313, Adams County, Pennsylvania",1843,99,1395,119,19,22,1088,129,100,52,21,24,73,53,375,104
1400000US42001031401,42001031401,"Census Tract 314.01, Adams County, Pennsylvania",1641,79,1382,93,10,17,1229,107,69,39,8,14,15,17,244,67
1400000US42001031402,42001031402,"Census Tract 314.02, Adams County, Pennsylvania",840,59,608,62,4,6,522,61,68,28,11,13,59,51,173,45
1400000US42001031501,42001031501,"Census Tract 315.01, Adams County, Pennsylvania",527,74,368,63,0,10,345,61,20,17,0,10,21,17,138,50
1400000US42001031502,42001031502,"Census Tract 315.02, Adams County, Pennsylvania",1758,159,1168,179,7,12,1015,155,51,36,23,28,58,37,532,118
1400000US42001031600,42001031600,"Census Tract 316, Adams County, Pennsylvania",2703,134,2394,133,39,30,2134,123,129,64,5,6,71,37,238,62
1400000US42001031700,42001031700,"Census Tract 317, Adams County, Pennsylvania",1029,76,747,62,16,13,679,64,32,18,3,6,25,16,257,59
1400000US42003010300,42003010300,"Census Tract 103, Allegheny County, Pennsylvania",291,60,232,61,0,15,220,59,0,15,0,15,13,15,46,33
1400000US42003020100,42003020100,"Census Tract 201, Allegheny County, Pennsylvania",2370,187,1977,208,14,23,1743,206,35,33,21,24,166,86,227,78
1400000US42003020300,42003020300,"Census Tract 203, Allegheny County, Pennsylvania",641,54,591,60,0,10,554,58,11,17,0,10,15,21,35,41
1400000US42003030500,42003030500,"Census Tract 305, Allegheny County, Pennsylvania",1096,109,594,129,10,15,506,118,24,24,6,11,39,55,463,124
1400000US42003040200,42003040200,"Census Tract 402, Allegheny County, Pennsylvania",629,65,435,76,14,15,395,78,19,17,7,12,15,16,179,67
1400000US42003040400,42003040400,"Census Tract 404, Allegheny County, Pennsylvania",1197,134,909,117,0,10,829,126,22,25,12,21,183,116,105,49
1400000US42003040500,42003040500,"Census Tract 405, Allegheny County, Pennsylvania",1132,99,1022,109,0,10,991,110,20,24,0,10,61,62,49,37
1400000US42003040600,42003040600,"Census Tract 406, Allegheny County, Pennsylvania",892,91,748,103,0,10,704,110,11,17,0,10,15,26,129,59
1400000US42003040900,42003040900,"Census Tract 409, Allegheny County, Pennsylvania",1288,79,1022,108,11,16,837,118,16,18,29,46,81,55,185,67
1400000US42003050100,42003050100,"Census Tract 501, Allegheny County, Pennsylvania",996,72,492,107,7,10,435,109,46,39,21,34,47,37,457,103
1400000US42003050600,42003050600,"Census Tract 506, Allegheny County, Pennsylvania",906,100,577,107,0,10,538,109,71,41,0,10,30,36,299,93
1400000US42003050900,42003050900,"Census Tract 509, Allegheny County, Pennsylvania",790,49,353,87,0,10,247,79,22,24,21,25,114,64,323,77
1400000US42003051000,42003051000,"Census Tract 510, Allegheny County, Pennsylvania",724,88,489,101,0,10,472,99,38,35,0,10,45,33,190,48
1400000US42003051100,42003051100,"Census Tract 511, Allegheny County, Pennsylvania",82,34,38,21,0,10,38,21,0,10,0,10,0,10,44,30
1400000US42003060300,42003060300,"Census Tract 603, Allegheny County, Pennsylvania",1246,87,990,95,0,10,837,110,44,38,0,10,77,46,179,60
1400000US42003060500,42003060500,"Census Tract 605, Allegheny County, Pennsylvania",716,87,537,89,10,10,498,84,6,9,0,10,12,13,167,42
1400000US42003070300,42003070300,"Census Tract 703, Allegheny County, Pennsylvania",1139,91,1079,95,13,11,1038,90,47,32,0,10,7,11,53,46
1400000US42003070500,42003070500,"Census Tract 705, Allegheny County, Pennsylvania",1789,98,1665,102,6,10,1547,101,27,26,36,46,41,27,83,53
