GEO.id,Id
GEO.id2,Id2
GEO.display-label,Geography
HC01_EST_VC01,Total; Estimate; Total households
HC01_MOE_VC01,Total; Margin of Error; Total households
HC02_EST_VC01,Percent; Estimate; Total households
HC02_MOE_VC01,Percent; Margin of Error; Total households
HC01_EST_VC04,Total; Estimate; TYPES OF COMPUTER - Has one or more types of computing devices:
HC01_MOE_VC04,Total; Margin of Error; TYPES OF COMPUTER - Has one or more types of computing devices:
HC02_EST_VC04,Percent; Estimate; TYPES OF COMPUTER - Has one or more types of computing devices:
HC02_MOE_VC04,Percent; Margin of Error; TYPES OF COMPUTER - Has one or more types of computing devices:
HC01_EST_VC05,Total; Estimate; TYPES OF COMPUTER - Has one or more types of computing devices: - Desktop or laptop
HC01_MOE_VC05,Total; Margin of Error; TYPES OF COMPUTER - Has one or more types of computing devices: - Desktop or laptop
HC02_EST_VC05,Percent; Estimate; TYPES OF COMPUTER - Has one or more types of computing devices: - Desktop or laptop
HC02_MOE_VC05,Percent; Margin of Error; TYPES OF COMPUTER - Has one or more types of computing devices: - Desktop or laptop
HC01_EST_VC06,Total; Estimate; TYPES OF COMPUTER - Has one or more types of computing devices: - Desktop or laptop - Desktop or laptop with no other type of computing device
HC01_MOE_VC06,Total; Margin of Error; TYPES OF COMPUTER - Has one or more types of computing devices: - Desktop or laptop - Desktop or laptop with no other type of computing device
HC02_EST_VC06,Percent; Estimate; TYPES OF COMPUTER - Has one or more types of computing devices: - Desktop or laptop - Desktop or laptop with no other type of computing device
HC02_MOE_VC06,Percent; Margin of Error; TYPES OF COMPUTER - Has one or more types of computing devices: - Desktop or laptop - Desktop or laptop with no other type of computing device
HC01_EST_VC07,Total; Estimate; TYPES OF COMPUTER - Has one or more types of computing devices: - Smartphone
HC01_MOE_VC07,Total; Margin of Error; TYPES OF COMPUTER - Has one or more types of computing devices: - Smartphone
HC02_EST_VC07,Percent; Estimate; TYPES OF COMPUTER - Has one or more types of computing devices: - Smartphone
HC02_MOE_VC07,Percent; Margin of Error; TYPES OF COMPUTER - Has one or more types of computing devices: - Smartphone
HC01_EST_VC08,Total; Estimate; TYPES OF COMPUTER - Has one or more types of computing devices: - Smartphone - Smartphone with no other type of computing device
HC01_MOE_VC08,Total; Margin of Error; TYPES OF COMPUTER - Has one or more types of computing devices: - Smartphone - Smartphone with no other type of computing device
HC02_EST_VC08,Percent; Estimate; TYPES OF COMPUTER - Has one or more types of computing devices: - Smartphone - Smartphone with no other type of computing device
HC02_MOE_VC08,Percent; Margin of Error; TYPES OF COMPUTER - Has one or more types of computing devices: - Smartphone - Smartphone with no other type of computing device
HC01_EST_VC09,Total; Estimate; TYPES OF COMPUTER - Has one or more types of computing devices: - Tablet or other portable wireless computer
HC01_MOE_VC09,Total; Margin of Error; TYPES OF COMPUTER - Has one or more types of computing devices: - Tablet or other portable wireless computer
HC02_EST_VC09,Percent; Estimate; TYPES OF COMPUTER - Has one or more types of computing devices: - Tablet or other portable wireless computer
HC02_MOE_VC09,Percent; Margin of Error; TYPES OF COMPUTER - Has one or more types of computing devices: - Tablet or other portable wireless computer
HC01_EST_VC10,Total; Estimate; TYPES OF COMPUTER - Has one or more types of computing devices: - Tablet or other portable wireless computer - Tablet or other portable wireless computer with no other type of computing device
HC01_MOE_VC10,Total; Margin of Error; TYPES OF COMPUTER - Has one or more types of computing devices: - Tablet or other portable wireless computer - Tablet or other portable wireless computer with no other type of computing device
HC02_EST_VC10,Percent; Estimate; TYPES OF COMPUTER - Has one or more types of computing devices: - Tablet or other portable wireless computer - Tablet or other portable wireless computer with no other type of computing device
HC02_MOE_VC10,Percent; Margin of Error; TYPES OF COMPUTER - Has one or more types of computing devices: - Tablet or other portable wireless computer - Tablet or other portable wireless computer with no other type of computing device
HC01_EST_VC11,Total; Estimate; TYPES OF COMPUTER - Has one or more types of computing devices: - Other computer
HC01_MOE_VC11,Total; Margin of Error; TYPES OF COMPUTER - Has one or more types of computing devices: - Other computer
HC02_EST_VC11,Percent; Estimate; TYPES OF COMPUTER - Has one or more types of computing devices: - Other computer
HC02_MOE_VC11,Percent; Margin of Error; TYPES OF COMPUTER - Has one or more types of computing devices: - Other computer
HC01_EST_VC12,Total; Estimate; TYPES OF COMPUTER - Has one or more types of computing devices: - Other computer - Other computer with no other type of computing device
HC01_MOE_VC12,Total; Margin of Error; TYPES OF COMPUTER - Has one or more types of computing devices: - Other computer - Other computer with no other type of computing device
HC02_EST_VC12,Percent; Estimate; TYPES OF COMPUTER - Has one or more types of computing devices: - Other computer - Other computer with no other type of computing device
HC02_MOE_VC12,Percent; Margin of Error; TYPES OF COMPUTER - Has one or more types of computing devices: - Other computer - Other computer with no other type of computing device
HC01_EST_VC13,Total; Estimate; TYPES OF COMPUTER - No computer
HC01_MOE_VC13,Total; Margin of Error; TYPES OF COMPUTER - No computer
HC02_EST_VC13,Percent; Estimate; TYPES OF COMPUTER - No computer
HC02_MOE_VC13,Percent; Margin of Error; TYPES OF COMPUTER - No computer
HC01_EST_VC16,Total; Estimate; TYPE OF INTERNET SUBSCRIPTIONS - With an Internet subscription:
HC01_MOE_VC16,Total; Margin of Error; TYPE OF INTERNET SUBSCRIPTIONS - With an Internet subscription:
HC02_EST_VC16,Percent; Estimate; TYPE OF INTERNET SUBSCRIPTIONS - With an Internet subscription:
HC02_MOE_VC16,Percent; Margin of Error; TYPE OF INTERNET SUBSCRIPTIONS - With an Internet subscription:
HC01_EST_VC17,Total; Estimate; TYPE OF INTERNET SUBSCRIPTIONS - With an Internet subscription: - Dial-up with no other type of Internet subscription
HC01_MOE_VC17,Total; Margin of Error; TYPE OF INTERNET SUBSCRIPTIONS - With an Internet subscription: - Dial-up with no other type of Internet subscription
HC02_EST_VC17,Percent; Estimate; TYPE OF INTERNET SUBSCRIPTIONS - With an Internet subscription: - Dial-up with no other type of Internet subscription
HC02_MOE_VC17,Percent; Margin of Error; TYPE OF INTERNET SUBSCRIPTIONS - With an Internet subscription: - Dial-up with no other type of Internet subscription
HC01_EST_VC18,Total; Estimate; TYPE OF INTERNET SUBSCRIPTIONS - With an Internet subscription: - Broadband of any type
