GEO.id,GEO.id2,GEO.display-label,HC01_EST_VC01,HC01_MOE_VC01,HC02_EST_VC01,HC02_MOE_VC01,HC01_EST_VC04,HC01_MOE_VC04,HC02_EST_VC04,HC02_MOE_VC04,HC01_EST_VC05,HC01_MOE_VC05,HC02_EST_VC05,HC02_MOE_VC05,HC01_EST_VC06,HC01_MOE_VC06,HC02_EST_VC06,HC02_MOE_VC06,HC01_EST_VC07,HC01_MOE_VC07,HC02_EST_VC07,HC02_MOE_VC07,HC01_EST_VC08,HC01_MOE_VC08,HC02_EST_VC08,HC02_MOE_VC08,HC01_EST_VC09,HC01_MOE_VC09,HC02_EST_VC09,HC02_MOE_VC09,HC01_EST_VC10,HC01_MOE_VC10,HC02_EST_VC10,HC02_MOE_VC10,HC01_EST_VC11,HC01_MOE_VC11,HC02_EST_VC11,HC02_MOE_VC11,HC01_EST_VC12,HC01_MOE_VC12,HC02_EST_VC12,HC02_MOE_VC12,HC01_EST_VC13,HC01_MOE_VC13,HC02_EST_VC13,HC02_MOE_VC13,HC01_EST_VC16,HC01_MOE_VC16,HC02_EST_VC16,HC02_MOE_VC16,HC01_EST_VC17,HC01_MOE_VC17,HC02_EST_VC17,HC02_MOE_VC17,HC01_EST_VC18,HC01_MOE_VC18,HC02_EST_VC18,HC02_MOE_VC18,HC01_EST_VC19,HC01_MOE_VC19,HC02_EST_VC19,HC02_MOE_VC19,HC01_EST_VC20,HC01_MOE_VC20,HC02_EST_VC20,HC02_MOE_VC20,HC01_EST_VC21,HC01_MOE_VC21,HC02_EST_VC21,HC02_MOE_VC21,HC01_EST_VC22,HC01_MOE_VC22,HC02_EST_VC22,HC02_MOE_VC22,HC01_EST_VC23,HC01_MOE_VC23,HC02_EST_VC23,HC02_MOE_VC23,HC01_EST_VC26,HC01_MOE_VC26,HC02_EST_VC26,HC02_MOE_VC26,HC01_EST_VC27,HC01_MOE_VC27,HC02_EST_VC27,HC02_MOE_VC27,HC01_EST_VC28,HC01_MOE_VC28,HC02_EST_VC28,HC02_MOE_VC28,HC01_EST_VC29,HC01_MOE_VC29,HC02_EST_VC29,HC02_MOE_VC29,HC01_EST_VC30,HC01_MOE_VC30,HC02_EST_VC30,HC02_MOE_VC30,HC01_EST_VC31,HC01_MOE_VC31,HC02_EST_VC31,HC02_MOE_VC31,HC01_EST_VC32,HC01_MOE_VC32,HC02_EST_VC32,HC02_MOE_VC32,HC01_EST_VC33,HC01_MOE_VC33,HC02_EST_VC33,HC02_MOE_VC33,HC01_EST_VC34,HC01_MOE_VC34,HC02_EST_VC34,HC02_MOE_VC34,HC01_EST_VC35,HC01_MOE_VC35,HC02_EST_VC35,HC02_MOE_VC35,HC01_EST_VC36,HC01_MOE_VC36,HC02_EST_VC36,HC02_MOE_VC36,HC01_EST_VC37,HC01_MOE_VC37,HC02_EST_VC37,HC02_MOE_VC37
Id,Id2,Geography,Total; Estimate; Total households,Total; Margin of Error; Total households,Percent; Estimate; Total households,Percent; Margin of Error; Total households,Total; Estimate; TYPES OF COMPUTER - Has one or more types of computing devices:,Total; Margin of Error; TYPES OF COMPUTER - Has one or more types of computing devices:,Percent; Estimate; TYPES OF COMPUTER - Has one or more types of computing devices:,Percent; Margin of Error; TYPES OF COMPUTER - Has one or more types of computing devices:,Total; Estimate; TYPES OF COMPUTER - Has one or more types of computing devices: - Desktop or laptop,Total; Margin of Error; TYPES OF COMPUTER - Has one or more types of computing devices: - Desktop or laptop,Percent; Estimate; TYPES OF COMPUTER - Has one or more types of computing devices: - Desktop or laptop,Percent; Margin of Error; TYPES OF COMPUTER - Has one or more types of computing devices: - Desktop or laptop,Total; Estimate; TYPES OF COMPUTER - Has one or more types of computing devices: - Desktop or laptop - Desktop or laptop with no other type of computing device,Total; Margin of Error; TYPES OF COMPUTER - Has one or more types of computing devices: - Desktop or laptop - Desktop or laptop with no other type of computing device,Percent; Estimate; TYPES OF COMPUTER - Has one or more types of computing devices: - Desktop or laptop - Desktop or laptop with no other type of computing device,Percent; Margin of Error; TYPES OF COMPUTER - Has one or more types of computing devices: - Desktop or laptop - Desktop or laptop with no other type of computing device,Total; Estimate; TYPES OF COMPUTER - Has one or more types of computing devices: - Smartphone,Total; Margin of Error; TYPES OF COMPUTER - Has one or more types of computing devices: - Smartphone,Percent; Estimate; TYPES OF COMPUTER - Has one or more types of computing devices: - Smartphone,Percent; Margin of Error; TYPES OF COMPUTER - Has one or more types of computing devices: - Smartphone,Total; Estimate; TYPES OF COMPUTER - Has one or more types of computing devices: - Smartphone - Smartphone with no other type of computing device,Total; Margin of Error; TYPES OF COMPUTER - Has one or more types of computing devices: - Smartphone - Smartphone with no other type of computing device,Percent; Estimate; TYPES OF COMPUTER - Has one or more types of computing devices: - Smartphone - Smartphone with no other type of computing device,Percent; Margin of Error; TYPES OF COMPUTER - Has one or more types of computing devices: - Smartphone - Smartphone with no other type of computing device,Total; Estimate; TYPES OF COMPUTER - Has one or more types of computing devices: - Tablet or other portable wireless computer,Total; Margin of Error; TYPES OF COMPUTER - Has one or more types of computing devices: - Tablet or other portable wireless computer,Percent; Estimate; TYPES OF COMPUTER - Has one or more types of computing devices: - Tablet or other portable wireless computer,Percent; Margin of Error; TYPES OF COMPUTER - Has one or more types of computing devices: - Tablet or other portable wireless computer,Total; Estimate; TYPES OF COMPUTER - Has one or more types of computing devices: - Tablet or other portable wireless computer - Tablet or other portable wireless computer with no other type of computing device,Total; Margin of Error; TYPES OF COMPUTER - Has one or more types of computing devices: - Tablet or other portable wireless computer - Tablet or other portable wireless computer with no other type of computing device,Percent; Estimate; TYPES OF COMPUTER - Has one or more types of computing devices: - Tablet or other portable wireless computer - Tablet or other portable wireless computer with no other type of computing device,Percent; Margin of Error; TYPES OF COMPUTER - Has one or more types of computing devices: - Tablet or other portable wireless computer - Tablet or other portable wireless computer with no other type of computing device,Total; Estimate; TYPES OF COMPUTER - Has one or more types of computing devices: - Other computer,Total; Margin of Error; TYPES OF COMPUTER - Has one or more types of computing devices: - Other computer,Percent; Estimate; TYPES OF COMPUTER - Has one or more types of computing devices: - Other computer,Percent; Margin of Error; TYPES OF COMPUTER - Has one or more types of computing devices: - Other computer,Total; Estimate; TYPES OF COMPUTER - Has one or more types of computing devices: - Other computer - Other computer with no other type of computing device,Total; Margin of Error; TYPES OF COMPUTER - Has one or more types of computing devices: - Other computer - Other computer with no other type of computing device,Percent; Estimate; TYPES OF COMPUTER - Has one or more types of computing devices: - Other computer - Other computer with no other type of computing device,Percent; Margin of Error; TYPES OF COMPUTER - Has one or more types of computing devices: - Other computer - Other computer with no other type of computing device,Total; Estimate; TYPES OF COMPUTER - No computer,Total; Margin of Error; TYPES OF COMPUTER - No computer,Percent; Estimate; TYPES OF COMPUTER - No computer,Percent; Margin of Error; TYPES OF COMPUTER - No computer,Total; Estimate; TYPE OF INTERNET SUBSCRIPTIONS - With an Internet subscription:,Total; Margin of Error; TYPE OF INTERNET SUBSCRIPTIONS - With an Internet subscription:,Percent; Estimate; TYPE OF INTERNET SUBSCRIPTIONS - With an Internet subscription:,Percent; Margin of Error; TYPE OF INTERNET SUBSCRIPTIONS - With an Internet subscription:,Total; Estimate; TYPE OF INTERNET SUBSCRIPTIONS - With an Internet subscription: - Dial-up with no other type of Internet subscription,Total; Margin of Error; TYPE OF INTERNET SUBSCRIPTIONS - With an Internet subscription: - Dial-up with no other type of Internet subscription,Percent; Estimate; TYPE OF INTERNET SUBSCRIPTIONS - With an Internet subscription: - Dial-up with no other type of Internet subscription,Percent; Margin of Error; TYPE OF INTERNET SUBSCRIPTIONS - With an Internet subscription: - Dial-up with no other type of Internet subscription,Total; Estimate; TYPE OF INTERNET SUBSCRIPTIONS - With an Internet subscription: - Broadband of any type,Total; Margin of Error; TYPE OF INTERNET SUBSCRIPTIONS - With an Internet subscription: - Broadband of any type,Percent; Estimate; TYPE OF INTERNET SUBSCRIPTIONS - With an Internet subscription: - Broadband of any type,Percent; Margin of Error; TYPE OF INTERNET SUBSCRIPTIONS - With an Internet subscription: - Broadband of any type,Total; Estimate; TYPE OF INTERNET SUBSCRIPTIONS - With an Internet subscription: - Broadband of any type - Cellular data plan,Total; Margin of Error; TYPE OF INTERNET SUBSCRIPTIONS - With an Internet subscription: - Broadband of any type - Cellular data plan,Percent; Estimate; TYPE OF INTERNET SUBSCRIPTIONS - With an Internet subscription: - Broadband of any type - Cellular data plan,Percent; Margin of Error; TYPE OF INTERNET SUBSCRIPTIONS - With an Internet subscription: - Broadband of any type - Cellular data plan,Total; Estimate; TYPE OF INTERNET SUBSCRIPTIONS - With an Internet subscription: - Broadband of any type - Cellular data plan - Cellular data plan with no other type of Internet subscription,Total; Margin of Error; TYPE OF INTERNET SUBSCRIPTIONS - With an Internet subscription: - Broadband of any type - Cellular data plan - Cellular data plan with no other type of Internet subscription,Percent; Estimate; TYPE OF INTERNET SUBSCRIPTIONS - With an Internet subscription: - Broadband of any type - Cellular data plan - Cellular data plan with no other type of Internet subscription,Percent; Margin of Error; TYPE OF INTERNET SUBSCRIPTIONS - With an Internet subscription: - Broadband of any type - Cellular data plan - Cellular data plan with no other type of Internet subscription,"Total; Estimate; TYPE OF INTERNET SUBSCRIPTIONS - With an Internet subscription: - Broadband of any type - Broadband such as cable, fiber optic or DSL","Total; Margin of Error; TYPE OF INTERNET SUBSCRIPTIONS - With an Internet subscription: - Broadband of any type - Broadband such as cable, fiber optic or DSL","Percent; Estimate; TYPE OF INTERNET SUBSCRIPTIONS - With an Internet subscription: - Broadband of any type - Broadband such as cable, fiber optic or DSL","Percent; Margin of Error; TYPE OF INTERNET SUBSCRIPTIONS - With an Internet subscription: - Broadband of any type - Broadband such as cable, fiber optic or DSL",Total; Estimate; TYPE OF INTERNET SUBSCRIPTIONS - With an Internet subscription: - Broadband of any type - Satellite Internet service,Total; Margin of Error; TYPE OF INTERNET SUBSCRIPTIONS - With an Internet subscription: - Broadband of any type - Satellite Internet service,Percent; Estimate; TYPE OF INTERNET SUBSCRIPTIONS - With an Internet subscription: - Broadband of any type - Satellite Internet service,Percent; Margin of Error; TYPE OF INTERNET SUBSCRIPTIONS - With an Internet subscription: - Broadband of any type - Satellite Internet service,Total; Estimate; TYPE OF INTERNET SUBSCRIPTIONS - Without an Internet subscription,Total; Margin of Error; TYPE OF INTERNET SUBSCRIPTIONS - Without an Internet subscription,Percent; Estimate; TYPE OF INTERNET SUBSCRIPTIONS - Without an Internet subscription,Percent; Margin of Error; TYPE OF INTERNET SUBSCRIPTIONS - Without an Internet subscription,"Total; Estimate; HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2017 INFLATION-ADJUSTED DOLLARS) - Less than $20,000:","Total; Margin of Error; HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2017 INFLATION-ADJUSTED DOLLARS) - Less than $20,000:","Percent; Estimate; HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2017 INFLATION-ADJUSTED DOLLARS) - Less than $20,000:","Percent; Margin of Error; HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2017 INFLATION-ADJUSTED DOLLARS) - Less than $20,000:","Total; Estimate; HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2017 INFLATION-ADJUSTED DOLLARS) - Less than $20,000: - With dial-up Internet subscription alone","Total; Margin of Error; HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2017 INFLATION-ADJUSTED DOLLARS) - Less than $20,000: - With dial-up Internet subscription alone","Percent; Estimate; HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2017 INFLATION-ADJUSTED DOLLARS) - Less than $20,000: - With dial-up Internet subscription alone","Percent; Margin of Error; HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2017 INFLATION-ADJUSTED DOLLARS) - Less than $20,000: - With dial-up Internet subscription alone","Total; Estimate; HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2017 INFLATION-ADJUSTED DOLLARS) - Less than $20,000: - With a broadband Internet subscription","Total; Margin of Error; HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2017 INFLATION-ADJUSTED DOLLARS) - Less than $20,000: - With a broadband Internet subscription","Percent; Estimate; HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2017 INFLATION-ADJUSTED DOLLARS) - Less than $20,000: - With a broadband Internet subscription","Percent; Margin of Error; HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2017 INFLATION-ADJUSTED DOLLARS) - Less than $20,000: - With a broadband Internet subscription","Total; Estimate; HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2017 INFLATION-ADJUSTED DOLLARS) - Less than $20,000: - Without an Internet subscription","Total; Margin of Error; HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2017 INFLATION-ADJUSTED DOLLARS) - Less than $20,000: - Without an Internet subscription","Percent; Estimate; HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2017 INFLATION-ADJUSTED DOLLARS) - Less than $20,000: - Without an Internet subscription","Percent; Margin of Error; HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2017 INFLATION-ADJUSTED DOLLARS) - Less than $20,000: - Without an Internet subscription","Total; Estimate; HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2017 INFLATION-ADJUSTED DOLLARS) - $20,000 to $74,999:","Total; Margin of Error; HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2017 INFLATION-ADJUSTED DOLLARS) - $20,000 to $74,999:","Percent; Estimate; HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2017 INFLATION-ADJUSTED DOLLARS) - $20,000 to $74,999:","Percent; Margin of Error; HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2017 INFLATION-ADJUSTED DOLLARS) - $20,000 to $74,999:","Total; Estimate; HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2017 INFLATION-ADJUSTED DOLLARS) - $20,000 to $74,999: - With dial-up Internet subscription alone","Total; Margin of Error; HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2017 INFLATION-ADJUSTED DOLLARS) - $20,000 to $74,999: - With dial-up Internet subscription alone","Percent; Estimate; HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2017 INFLATION-ADJUSTED DOLLARS) - $20,000 to $74,999: - With dial-up Internet subscription alone","Percent; Margin of Error; HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2017 INFLATION-ADJUSTED DOLLARS) - $20,000 to $74,999: - With dial-up Internet subscription alone","Total; Estimate; HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2017 INFLATION-ADJUSTED DOLLARS) - $20,000 to $74,999: - With a broadband Internet subscription","Total; Margin of Error; HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2017 INFLATION-ADJUSTED DOLLARS) - $20,000 to $74,999: - With a broadband Internet subscription","Percent; Estimate; HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2017 INFLATION-ADJUSTED DOLLARS) - $20,000 to $74,999: - With a broadband Internet subscription","Percent; Margin of Error; HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2017 INFLATION-ADJUSTED DOLLARS) - $20,000 to $74,999: - With a broadband Internet subscription","Total; Estimate; HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2017 INFLATION-ADJUSTED DOLLARS) - $20,000 to $74,999: - Without an Internet subscription","Total; Margin of Error; HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2017 INFLATION-ADJUSTED DOLLARS) - $20,000 to $74,999: - Without an Internet subscription","Percent; Estimate; HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2017 INFLATION-ADJUSTED DOLLARS) - $20,000 to $74,999: - Without an Internet subscription","Percent; Margin of Error; HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2017 INFLATION-ADJUSTED DOLLARS) - $20,000 to $74,999: - Without an Internet subscription","Total; Estimate; HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2017 INFLATION-ADJUSTED DOLLARS) - $75,000 or more:","Total; Margin of Error; HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2017 INFLATION-ADJUSTED DOLLARS) - $75,000 or more:","Percent; Estimate; HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2017 INFLATION-ADJUSTED DOLLARS) - $75,000 or more:","Percent; Margin of Error; HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2017 INFLATION-ADJUSTED DOLLARS) - $75,000 or more:","Total; Estimate; HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2017 INFLATION-ADJUSTED DOLLARS) - $75,000 or more: - With dial-up Internet subscription alone","Total; Margin of Error; HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2017 INFLATION-ADJUSTED DOLLARS) - $75,000 or more: - With dial-up Internet subscription alone","Percent; Estimate; HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2017 INFLATION-ADJUSTED DOLLARS) - $75,000 or more: - With dial-up Internet subscription alone","Percent; Margin of Error; HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2017 INFLATION-ADJUSTED DOLLARS) - $75,000 or more: - With dial-up Internet subscription alone","Total; Estimate; HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2017 INFLATION-ADJUSTED DOLLARS) - $75,000 or more: - With a broadband Internet subscription","Total; Margin of Error; HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2017 INFLATION-ADJUSTED DOLLARS) - $75,000 or more: - With a broadband Internet subscription","Percent; Estimate; HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2017 INFLATION-ADJUSTED DOLLARS) - $75,000 or more: - With a broadband Internet subscription","Percent; Margin of Error; HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2017 INFLATION-ADJUSTED DOLLARS) - $75,000 or more: - With a broadband Internet subscription","Total; Estimate; HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2017 INFLATION-ADJUSTED DOLLARS) - $75,000 or more: - Without an Internet subscription","Total; Margin of Error; HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2017 INFLATION-ADJUSTED DOLLARS) - $75,000 or more: - Without an Internet subscription","Percent; Estimate; HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2017 INFLATION-ADJUSTED DOLLARS) - $75,000 or more: - Without an Internet subscription","Percent; Margin of Error; HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2017 INFLATION-ADJUSTED DOLLARS) - $75,000 or more: - Without an Internet subscription"
1400000US42001030101,42001030101,"Census Tract 301.01, Adams County, Pennsylvania",979,61,(X),(X),907,59,92.6,3.7,835,61,85.3,5.5,204,53,20.8,5.3,682,68,69.7,5.9,59,42,6.0,4.3,514,68,52.5,6.6,0,10,0.0,2.5,35,21,3.6,2.2,0,10,0.0,2.5,72,38,7.4,3.7,832,65,85.0,5.5,39,36,4.0,3.8,793,75,81.0,5.7,439,66,44.8,6.3,79,36,8.1,3.7,653,76,66.7,6.6,78,29,8.0,3.0,147,57,15.0,5.5,48,29,(X),(X),8,13,16.7,24.8,33,23,68.8,27.7,7,10,14.6,20.5,442,75,(X),(X),0,10,0.0,5.5,337,67,76.2,9.7,105,49,23.8,9.7,489,52,(X),(X),31,35,6.3,7.1,423,59,86.5,8.4,35,23,7.2,4.8
1400000US42001030102,42001030102,"Census Tract 301.02, Adams County, Pennsylvania",2135,123,(X),(X),1971,129,92.3,3.7,1895,140,88.8,4.8,415,117,19.4,5.1,1487,161,69.6,6.8,58,42,2.7,1.9,1177,166,55.1,7.7,12,20,0.6,0.9,35,55,1.6,2.6,0,15,0.0,1.2,164,81,7.7,3.7,1875,134,87.8,5.1,34,40,1.6,1.8,1841,135,86.2,5.4,1064,167,49.8,7.0,184,87,8.6,4.1,1558,168,73.0,7.1,76,63,3.6,3.0,260,113,12.2,5.1,84,79,(X),(X),15,24,17.9,31.4,0,15,0.0,25.3,69,74,82.1,31.4,1004,172,(X),(X),0,15,0.0,2.5,861,171,85.8,6.6,143,66,14.2,6.6,1047,159,(X),(X),19,31,1.8,2.9,980,156,93.6,4.4,48,37,4.6,3.6
1400000US42001030200,42001030200,"Census Tract 302, Adams County, Pennsylvania",1927,94,(X),(X),1586,100,82.3,3.0,1438,114,74.6,4.0,277,62,14.4,3.2,1213,97,62.9,3.9,69,30,3.6,1.6,990,88,51.4,3.7,19,21,1.0,1.1,32,21,1.7,1.1,0,15,0.0,1.3,341,59,17.7,3.0,1394,110,72.3,4.0,52,24,2.7,1.2,1342,108,69.6,4.1,703,87,36.5,4.3,93,32,4.8,1.7,1139,106,59.1,4.4,101,38,5.2,1.9,533,77,27.7,4.0,255,66,(X),(X),0,15,0.0,9.3,96,34,37.6,13.1,159,60,62.4,13.1,988,94,(X),(X),33,20,3.3,2.0,633,73,64.1,5.8,322,69,32.6,5.8,684,78,(X),(X),19,14,2.8,2.1,613,75,89.6,3.5,52,21,7.6,3.0
1400000US42001030300,42001030300,"Census Tract 303, Adams County, Pennsylvania",1512,101,(X),(X),1302,103,86.1,4.5,1143,110,75.6,6.7,361,106,23.9,7.0,872,126,57.7,7.7,42,33,2.8,2.2,692,133,45.8,7.7,33,29,2.2,1.9,19,17,1.3,1.1,0,10,0.0,1.6,210,72,13.9,4.5,1106,113,73.1,6.9,30,22,2.0,1.4,1076,112,71.2,6.8,616,121,40.7,7.5,35,32,2.3,2.1,974,110,64.4,6.7,71,39,4.7,2.6,406,113,26.9,6.9,71,40,(X),(X),0,10,0.0,28.9,17,14,23.9,21.7,54,38,76.1,21.7,759,127,(X),(X),0,10,0.0,3.2,442,100,58.2,9.8,317,96,41.8,9.8,682,107,(X),(X),30,22,4.4,3.0,617,104,90.5,6.8,35,43,5.1,6.3
1400000US42001030400,42001030400,"Census Tract 304, Adams County, Pennsylvania",2298,162,(X),(X),1992,181,86.7,5.3,1828,171,79.5,5.9,432,149,18.8,6.1,1423,211,61.9,8.7,94,83,4.1,3.5,1109,186,48.3,7.7,3,5,0.1,0.2,46,47,2.0,2.0,0,15,0.0,1.1,306,126,13.3,5.3,1849,190,80.5,6.4,35,39,1.5,1.7,1814,183,78.9,6.2,1035,179,45.0,7.5,57,47,2.5,2.0,1616,171,70.3,6.8,88,65,3.8,2.8,449,152,19.5,6.4,311,141,(X),(X),11,21,3.5,6.9,182,116,58.5,19.1,118,68,37.9,19.2,968,199,(X),(X),24,33,2.5,3.3,678,189,70.0,12.0,266,121,27.5,11.8,1019,156,(X),(X),0,15,0.0,2.4,954,154,93.6,5.2,65,54,6.4,5.2
1400000US42001030500,42001030500,"Census Tract 305, Adams County, Pennsylvania",1454,70,(X),(X),1213,70,83.4,3.7,1083,74,74.5,4.5,288,63,19.8,4.1,868,70,59.7,4.5,65,34,4.5,2.3,642,69,44.2,4.5,5,7,0.3,0.5,23,15,1.6,1.0,4,6,0.3,0.4,241,58,16.6,3.7,1038,68,71.4,4.5,16,12,1.1,0.9,1022,69,70.3,4.5,567,56,39.0,4.1,70,29,4.8,2.0,902,70,62.0,4.5,77,27,5.3,1.8,416,74,28.6,4.5,152,50,(X),(X),0,10,0.0,15.1,48,30,31.6,15.1,104,39,68.4,15.1,715,75,(X),(X),13,11,1.8,1.6,469,75,65.6,7.7,233,61,32.6,7.8,587,60,(X),(X),3,5,0.5,0.9,505,58,86.0,4.9,79,29,13.5,4.7
1400000US42001030600,42001030600,"Census Tract 306, Adams County, Pennsylvania",1726,137,(X),(X),1445,126,83.7,4.2,1296,122,75.1,5.1,298,76,17.3,4.5,1037,127,60.1,5.8,46,40,2.7,2.2,839,120,48.6,6.0,18,20,1.0,1.1,56,42,3.2,2.4,0,10,0.0,1.4,281,80,16.3,4.2,1289,111,74.7,4.8,25,23,1.4,1.3,1264,105,73.2,4.9,707,124,41.0,6.6,126,67,7.3,3.7,1114,109,64.5,5.9,41,30,2.4,1.7,437,100,25.3,4.8,202,68,(X),(X),7,11,3.5,5.5,95,54,47.0,17.8,100,44,49.5,17.4,832,136,(X),(X),18,19,2.2,2.3,499,109,60.0,8.6,315,90,37.9,8.7,692,91,(X),(X),0,10,0.0,3.5,670,91,96.8,3.2,22,23,3.2,3.2
1400000US42001030700,42001030700,"Census Tract 307, Adams County, Pennsylvania",2635,283,(X),(X),2331,240,88.5,3.8,2116,213,80.3,5.8,589,138,22.4,4.8,1597,167,60.6,5.1,167,122,6.3,4.2,989,164,37.5,5.5,3,5,0.1,0.2,9,9,0.3,0.3,1,4,0.0,0.2,304,115,11.5,3.8,2141,230,81.3,4.1,19,23,0.7,0.9,2122,231,80.5,4.1,1417,208,53.8,5.2,202,124,7.7,4.3,1869,211,70.9,6.3,253,68,9.6,2.8,494,134,18.7,4.1,311,149,(X),(X),0,15,0.0,7.7,118,101,37.9,25.2,193,111,62.1,25.2,1186,193,(X),(X),19,23,1.6,1.9,974,168,82.1,5.3,193,73,16.3,5.5,1138,169,(X),(X),0,15,0.0,2.2,1030,148,90.5,4.6,108,60,9.5,4.6
1400000US42001030800,42001030800,"Census Tract 308, Adams County, Pennsylvania",2876,120,(X),(X),2509,116,87.2,2.0,2268,109,78.9,2.5,477,63,16.6,2.2,1884,123,65.5,2.9,107,46,3.7,1.6,1361,106,47.3,3.1,17,13,0.6,0.5,45,25,1.6,0.9,0,15,0.0,0.9,367,60,12.8,2.0,2280,111,79.3,2.3,34,22,1.2,0.8,2246,113,78.1,2.3,1294,123,45.0,3.5,238,67,8.3,2.2,1913,106,66.5,2.9,131,33,4.6,1.2,596,71,20.7,2.3,303,59,(X),(X),0,15,0.0,7.9,143,45,47.2,10.9,160,43,52.8,10.9,1315,123,(X),(X),26,22,2.0,1.7,972,109,73.9,3.8,317,55,24.1,3.7,1258,100,(X),(X),8,8,0.6,0.7,1131,96,89.9,3.1,119,39,9.5,3.0
