id,dateLastActivity,dueComplete,due,animal_type,label_names
5a6d054eea0086b8d596b209,2018-01-31,FALSE,2018-01-27,cat,ready to adopt
5a6e1189899dc1ca5caff197,2018-01-31,FALSE,2018-01-28,cat,vet
5a6e338962147c1a458086c2,2018-01-31,FALSE,2018-01-29,cat,ready for review
5a709fb3ced1c38cc2a08bbe,2018-01-31,TRUE,2018-01-27,cat,"ready for review, declaw only"
5a6ba97899c14486eae65fac,2018-01-31,TRUE,2018-01-26,cat,ready to adopt
5a6cf38c54a75f237aa6e487,2018-01-31,TRUE,2018-01-27,cat,ready for review
5a5efc0d28724cfc34539383,2018-01-31,FALSE,2018-01-16,cat,not utd
5a57b426801c9376b12b7c82,2018-01-31,FALSE,2018-01-11,cat,ready for review
5a6a2f7276848a98ea8d7f76,2018-01-31,TRUE,2018-01-25,cat,"questions, ready for review"
5a67b95ca8e0fc805006dd9d,2018-01-31,TRUE,2018-01-23,cat,ready to adopt
5a692d83f4ffb3dfcdb29982,2018-01-31,TRUE,2018-01-24,cat,ready to adopt
5a675c12045c4ae42dbc1dad,2018-01-30,TRUE,2018-01-23,cat,ready to adopt
5a64fe9ab73112061407f0a7,2018-01-30,TRUE,2018-01-21,cat,ready to adopt
5a67bcdc79830f68c4edb29a,2018-01-30,TRUE,2018-01-23,cat,ready for review
5a663ab9361e9cc297063fc9,2018-01-30,TRUE,2018-01-22,cat,"vet, not utd, questions"
5a6602cffd2be33ac826a5a9,2018-01-30,TRUE,2018-01-21,cat,"questions, vet, ready for review"
5a6a321c01fcb1d679fc2a70,2018-01-30,FALSE,NA,cat,ready to adopt
5a6d21a6ae4f161def4e37a8,2018-01-30,FALSE,NA,cat,"need to see id, vet, need info"
5a673cad2711ae3beb3d0929,2018-01-30,FALSE,NA,cat,"questions, ready for review"
5a70b60f024e293ff6967136,2018-01-30,FALSE,2018-01-22,cat,ready to adopt
5a663bb22bb181b25ce36321,2018-01-29,FALSE,2018-01-22,cat,ready to adopt
5a6cdcd1ac6135701b11923c,2018-01-29,FALSE,NA,cat,denied
5a669e78caf5794a0472ef90,2018-01-29,FALSE,2018-01-22,cat,"not utd, adopted elsewhere"
5a6d23b8ac5faedf821cd098,2018-01-29,TRUE,2018-01-27,cat,ready to adopt
5a6b8830e75cf91dd1aa6cba,2018-01-29,FALSE,NA,cat,need info
5a6e581eb24f2752e2c37673,2018-01-29,FALSE,NA,cat,ready to adopt
5a6f62d890e845cf88e759db,2018-01-29,FALSE,2018-01-29,cat,checks
5a626f207ca7664e8ac13576,2018-01-29,FALSE,2018-01-19,cat,not utd
5a6d210c644e65c6f196ae8d,2018-01-29,TRUE,2018-01-27,cat,ready for review
5a6e145673cb25bb54385f9e,2018-01-28,FALSE,NA,cat,ready to adopt
5a67bc1adfcea93994ad4b23,2018-01-28,TRUE,2018-01-23,cat,"returned, red flag, manager decision, denied"
5a43dd7db044ea658876b34f,2018-01-28,FALSE,NA,cat,ready for review
5a15b80fa091e78c28f1ec4c,2018-01-28,FALSE,2017-11-21,cat,ready for review
5a66539906a87203011b59cb,2018-01-27,FALSE,2018-01-22,cat,"need info, questions, vet"
5a6756afea5f3f7bc20ebd17,2018-01-27,FALSE,2018-01-22,cat,ready to adopt
5a6a4e5264b6c6993672c147,2018-01-27,FALSE,NA,cat,questions
5a6cb542e03a746f6c2d5dc9,2018-01-27,FALSE,NA,cat,ready to adopt
5a6a059021ea8bb11d7da87b,2018-01-26,FALSE,2018-01-19,cat,"vet, questions"
5a64daf2d65d32ceb05f0e3d,2018-01-26,TRUE,2018-01-21,cat,"need to see id, vet, adopted elsewhere"
5a5efc14e6aa73321bd20158,2018-01-26,TRUE,2018-01-15,cat,ready to adopt
5a6b7c3f1e365dbbe3872c7e,2018-01-26,FALSE,2018-01-26,cat,not utd
5a63cf112e6dabe813617f70,2018-01-25,FALSE,NA,cat,"need to see id, red flag, need info, vet"
5a68bef2e3ff72f85c7177d4,2018-01-25,FALSE,2018-01-23,cat,ready to adopt
5a626f662a9b15a5dc712730,2018-01-24,TRUE,2018-01-19,cat,"ready for review, declaw only, questions"
