type,data.checkItem.state,date,data.card.id,animal_type,checklist_ACCT,checklist_CHQ,checklist_LL,checklist_PP,checklist_SPCA,checklist_TR,checklist_VET,checklist_seq_num
updateCheckItemStateOnCard,complete,2018-07-02T17:11:01Z,57acc2f1d4009ea56a2cb2be,dog,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,1
updateCheckItemStateOnCard,complete,2018-07-02T17:11:02Z,57acc2f1d4009ea56a2cb2be,dog,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,12
updateCheckItemStateOnCard,complete,2018-07-02T17:11:04Z,57acc2f1d4009ea56a2cb2be,dog,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,14
updateCheckItemStateOnCard,complete,2018-07-02T17:11:04Z,57acc2f1d4009ea56a2cb2be,dog,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,15
updateCheckItemStateOnCard,complete,2018-07-02T17:11:08Z,57acc2f1d4009ea56a2cb2be,dog,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,16
updateCheckItemStateOnCard,complete,2018-07-02T17:11:10Z,57acc2f1d4009ea56a2cb2be,dog,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,17
updateCheckItemStateOnCard,complete,2018-07-02T17:23:52Z,57acc2f1d4009ea56a2cb2be,dog,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,18
updateCheckItemStateOnCard,complete,2018-07-27T04:30:22Z,581e4c3fadb08acae128d60c,dog,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,1
updateCheckItemStateOnCard,complete,2018-07-27T04:30:23Z,581e4c3fadb08acae128d60c,dog,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,12
updateCheckItemStateOnCard,complete,2018-07-27T04:30:24Z,581e4c3fadb08acae128d60c,dog,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,14
updateCheckItemStateOnCard,complete,2018-07-27T04:30:25Z,581e4c3fadb08acae128d60c,dog,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,15
updateCheckItemStateOnCard,complete,2018-08-03T18:06:24Z,581e4c3fadb08acae128d60c,dog,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,16
updateCheckItemStateOnCard,complete,2018-08-09T21:33:30Z,5834d2b8e6b0fa43068aa0ba,dog,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,1
updateCheckItemStateOnCard,incomplete,2018-08-09T21:33:39Z,5834d2b8e6b0fa43068aa0ba,dog,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,12
updateCheckItemStateOnCard,complete,2018-08-09T21:33:40Z,5834d2b8e6b0fa43068aa0ba,dog,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,14
updateCheckItemStateOnCard,complete,2018-08-11T15:40:42Z,5834d2b8e6b0fa43068aa0ba,dog,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,15
updateCheckItemStateOnCard,complete,2018-03-20T16:00:36Z,58b9e107678cbfde81d32020,dog,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,1
updateCheckItemStateOnCard,complete,2018-08-31T17:32:39Z,59694a45af179d65b75864d9,dog,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,1
updateCheckItemStateOnCard,complete,2018-08-31T17:32:40Z,59694a45af179d65b75864d9,dog,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,12
updateCheckItemStateOnCard,complete,2018-08-31T17:32:41Z,59694a45af179d65b75864d9,dog,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,14
updateCheckItemStateOnCard,complete,2018-08-31T17:32:43Z,59694a45af179d65b75864d9,dog,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,15
updateCheckItemStateOnCard,complete,2018-03-05T20:46:49Z,597f84af822bb55c19941433,dog,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,1
updateCheckItemStateOnCard,complete,2018-03-05T20:46:50Z,597f84af822bb55c19941433,dog,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,12
updateCheckItemStateOnCard,complete,2018-03-05T20:46:51Z,597f84af822bb55c19941433,dog,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,14
updateCheckItemStateOnCard,incomplete,2018-09-15T21:38:15Z,59c0352ec455e27b3e22a7b9,dog,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,1
updateCheckItemStateOnCard,incomplete,2018-03-04T22:05:59Z,59d4e36e7235b88b9f43aa1e,dog,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,1
updateCheckItemStateOnCard,complete,2018-09-07T15:49:33Z,59ea191c40f7942eae8ee1d1,dog,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,1
updateCheckItemStateOnCard,complete,2018-09-07T15:49:34Z,59ea191c40f7942eae8ee1d1,dog,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,12
updateCheckItemStateOnCard,complete,2018-09-07T15:49:37Z,59ea191c40f7942eae8ee1d1,dog,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,14
updateCheckItemStateOnCard,complete,2018-09-07T15:50:11Z,59ea191c40f7942eae8ee1d1,dog,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,15
updateCheckItemStateOnCard,complete,2018-08-01T21:49:11Z,5a0f0ab723945d97de5f454c,dog,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,1
updateCheckItemStateOnCard,complete,2018-01-10T19:48:42Z,5a395d60eabcadba12946300,dog,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,1
updateCheckItemStateOnCard,complete,2018-01-04T15:24:46Z,5a397d1f9f878882e068f212,dog,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,1
updateCheckItemStateOnCard,complete,2018-01-04T16:48:36Z,5a3d50ecff54bccf6edd303d,dog,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,1
updateCheckItemStateOnCard,complete,2018-01-04T15:42:41Z,5a3d792046c9a7e6fcb8aeb5,dog,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,1
updateCheckItemStateOnCard,complete,2018-01-09T21:38:19Z,5a3fec3bedd33b6e24e578de,dog,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,1
updateCheckItemStateOnCard,complete,2018-01-04T16:53:25Z,5a3fef5be2d820b1bfc85543,dog,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,1
updateCheckItemStateOnCard,complete,2018-01-04T16:36:10Z,5a411b45879173e4fb57f5f4,dog,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,1
updateCheckItemStateOnCard,complete,2018-01-06T18:40:18Z,5a43d9e2f3bcdbc0c0893ede,dog,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,1
updateCheckItemStateOnCard,complete,2018-01-06T18:40:18Z,5a43d9e2f3bcdbc0c0893ede,dog,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,12
updateCheckItemStateOnCard,complete,2018-01-06T18:40:19Z,5a43d9e2f3bcdbc0c0893ede,dog,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,14
updateCheckItemStateOnCard,complete,2018-01-06T18:50:28Z,5a43d9e2f3bcdbc0c0893ede,dog,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,15
updateCheckItemStateOnCard,complete,2018-07-01T16:34:09Z,5a44114f59c314b628f69c73,dog,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,1
updateCheckItemStateOnCard,complete,2018-07-01T16:34:23Z,5a44114f59c314b628f69c73,dog,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,12
updateCheckItemStateOnCard,complete,2018-07-01T16:34:47Z,5a44114f59c314b628f69c73,dog,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,14
updateCheckItemStateOnCard,complete,2018-01-04T16:12:15Z,5a4691e9f11ea55ece65a018,dog,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,1
updateCheckItemStateOnCard,complete,2018-01-04T16:14:30Z,5a4691e9f11ea55ece65a018,dog,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,12
updateCheckItemStateOnCard,complete,2018-01-04T16:14:31Z,5a4691e9f11ea55ece65a018,dog,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,14
updateCheckItemStateOnCard,complete,2018-01-09T21:43:24Z,5a4691e9f11ea55ece65a018,dog,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,15
updateCheckItemStateOnCard,complete,2018-01-04T14:53:45Z,5a47eebc23bfed946154e815,dog,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,1
updateCheckItemStateOnCard,complete,2018-01-04T14:53:47Z,5a47eebc23bfed946154e815,dog,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,12
updateCheckItemStateOnCard,complete,2018-01-04T14:54:10Z,5a47eebc23bfed946154e815,dog,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,14
