id,dateLastActivity,dueComplete,due,animal_type,label_names
5a6b7b9a29e061877fb5b4f8,2018-01-31,FALSE,2018-01-26,dog,ready for review
5a6d207d02f18c352f6f88f5,2018-01-31,TRUE,2018-01-27,dog,ready for review
5a6a4fc9d1f3ce495577981b,2018-01-31,TRUE,2018-01-25,dog,not utd
5a65332b1006b0fdd0aaea3f,2018-01-31,TRUE,2018-01-21,dog,not utd
5a673b39ca4708e32046b057,2018-01-30,FALSE,NA,dog,need info
5a6d2327e0d2616f9c2d28a5,2018-01-30,FALSE,NA,dog,"need vet info, questions"
5a6d2243a9e6d5b837a402e6,2018-01-29,FALSE,NA,dog,not utd
5a6a4a6a3a628d64226cf62a,2018-01-29,FALSE,NA,dog,ready to adopt
5a6bba519049eab1fc1bc463,2018-01-29,FALSE,NA,dog,withdrawn
59caa2354bb72a1602d3ba17,2018-01-29,TRUE,2018-01-29,dog,adopted
59f22224624bfcaa6947079a,2018-01-29,FALSE,NA,dog,adopted
5a36a3066151d8bb9133d4dc,2018-01-28,FALSE,NA,dog,"adopted, returned"
5a5911347a7f0f705681239a,2018-01-28,FALSE,NA,dog,"not utd, pet policy"
5a611de33fa47ef5c849e840,2018-01-28,FALSE,NA,dog,ready to adopt
5a6cede96eb92235374bd385,2018-01-27,FALSE,2018-01-27,dog,ready for review
5a6cd539c627958d40c667d9,2018-01-27,TRUE,2018-01-27,dog,adopted
5a6caf864516d7aa1e404fa4,2018-01-27,FALSE,2018-01-27,dog,adopted
5a500c310b20c9fae619fe88,2018-01-26,TRUE,2018-01-05,dog,"ready to adopt, adopted elsewhere"
59fb28dd3f2fd1649009cddc,2018-01-26,FALSE,2017-11-18,dog,adopted
5a5d26e4490ad58b20e51d53,2018-01-25,FALSE,2018-01-25,dog,adopted
5a663bf490f498a38b4a680e,2018-01-25,TRUE,2018-01-22,dog,"ready to adopt, ready for review"
5a69d906fa70dbed715f2a60,2018-01-25,FALSE,2018-01-25,dog,"ready for review, ready to adopt"
5a5edd33a5350de394caa132,2018-01-25,TRUE,2018-01-15,dog,ready to adopt
5a651727479521f66fbfaaaf,2018-01-24,FALSE,2018-01-21,dog,adopted
5a67c1f6f142c364d5260b9e,2018-01-24,FALSE,2018-01-23,dog,ready to adopt
5a5104cd68a0d5b73b931d5c,2018-01-23,FALSE,2018-01-10,dog,"ready for review, ready to adopt"
5a63c4f68ee0d201de8c7ee1,2018-01-23,FALSE,NA,dog,"adopted elsewhere, need vet info"
