"id","species","primary_breed","secondary_breed","gender","altered","age_intake","age_group","intake_asilomar","intake_condition","intake_date","intake_type","intake_subtype","intake_reason","intake_sitename","agency_name","outcome_asilomar","release_date","outcome_date","outcome_type","outcome_subtype","outcome_sitename","outcome_city","outcome_state","outcome_ZIP","wait_days","wday_intake","data.card.id","animal_type","date_start","checklist_ACCT","checklist_CHQ","checklist_LL","checklist_PP","checklist_SPCA","checklist_TR","checklist_VET","wday_start","date_submitted","ideal_adoption_timeline","reason_for_adoption","specific_animal","adults_in_home","children_in_home","all_household_agree","allergies","home_owner","home_pet_policy","budget_monthly","budget_emergency","home_alone_avg","home_alone_max","return_pet","how_heard","reason.for.adoption_gift_ind","reason.for.adoption_mouser_ind","reason.for.adoption_my.kids_ind","reason.for.adoption_myself_ind","reason.for.adoption_other_ind","reason.for.adoption_protection_ind","experience_bred.sold_ind","experience_current.housemates.pet_ind","experience_currently.have.pet_ind","experience_euthanized_ind","experience_given.away_ind","experience_given.to.shelter_ind","experience_grew.up.with_ind","experience_never.lived.with_ind","experience_past.housemates.pet_ind","experience_pet.died.in.care_ind","experience_pet.ran.away_ind","pet.kept_crate_ind","pet.kept_inside.only_ind","pet.kept_inside.outside_ind","pet.kept_inside.with.yard.access_ind","pet.kept_leash.harness_ind","pet.kept_other_ind","pet.kept_outside.only_ind","pet.kept_supervised.in.my.yard_ind","pet.kept_unsupervised.access.to.my.yard.9doggie.door.etc_ind","pet.kept_unsupervised.access.to.my.yard.doggie.door.etc_ind","exercise_dog.parks_ind","exercise_jogging.together_ind","exercise_not.much_ind","exercise_other.pets_ind","exercise_playing.in.my.yard_ind","exercise_toys_ind","exercise_walks.off.leash_ind","exercise_walks.on.leash_ind","needs_declaw_ind","needs_groom.myself_ind","needs_nail.clip_ind","needs_no.grooming_ind","needs_not.sure_ind","needs_other_ind","needs_professional.groomer_ind","needs_scratching.post_ind","return_allergies.appear_ind","return_becomes.aggressive_ind","return_destructive_ind","return_jumps.on.furniture_ind","return_moving.too.far_ind","return_new.baby_ind","return_not.allowed.new.living.space_ind","return_not.enough.time_ind","return_not.housebroken_ind","return_other_ind","return_pet.sheds_ind","return_too.playful_ind","return_vet.becomes.expensive_ind","return_ind"
"5af1852ab89bd9b467036638","Cat","Domestic Shorthair","Mix","F","Yes",138,"1 to 2 years","Healthy","Healthy",2018-05-02,"Return","Returned Adoption","Divorce / Separation","Grays Ferry Avenue",NA,"Treatable-Manageable",2018-05-14,2018-05-14,"Adoption","Grays Ferry Avenue","Grays Ferry Avenue","MOORESTOWN","NJ",8057,12,"Wed","5af1852ab89bd9b467036638","cat","2018-05-08 11:19:23",NA,0,0,0,NA,0,0.05,"Tue",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5c3a6fc172fbfa3471d005e4","Cat","Domestic Shorthair","Mix","F","Yes",139,"6 to 10 years",NA,"Healthy",2019-01-03,"Transfer In","Partner Transfer In","Rescue","Grays Ferry Avenue","ACCT Philly",NA,2019-01-18,2019-01-18,"Adoption","Grays Ferry Avenue","Grays Ferry Avenue","PHILADELPHIA","PA",19146,15,"Thu","5c3a6fc172fbfa3471d005e4","cat","2019-01-12 22:52:49",NA,4,4,4,NA,4,NA,"Sat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5be891e33813143141259a9c","Cat","Domestic Shorthair","Mix","M","Yes",130,"6 to 10 years",NA,"Healthy",2018-08-01,"Transfer In","Partner Transfer In","Rescue","Grays Ferry Avenue","ACCT Philly","Healthy",2018-11-20,2018-11-20,"Adoption","Kawaii Kitty Cafe","PAWS Offsite Adoptions","PHILADELPHIA","PA",19131,111,"Wed","5be891e33813143141259a9c","cat","2018-11-11 20:32:35",NA,0,0,0,NA,0,0,"Sun",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5c0416e57522b87d33b69b33","Cat","Domestic Shorthair","Mix","F","Yes",126,"10 or more years","Treatable-Rehabilitatable","Sick",2018-10-26,"Transfer In","Partner Transfer In","Rescue","Grays Ferry Avenue","Camden County Animal Shelter",NA,2018-12-02,2018-12-02,"Adoption","PAC","PAC","PHILADELPHIA","PA",19130,37,"Fri","5c0416e57522b87d33b69b33","cat","2018-12-02 17:31:17",NA,0,0,0,NA,0,0.01,"Sun",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5bbfd27ad00caf03183b0f4d","Cat","Domestic Shorthair","Mix","F","Yes",121,"6 months to 1 year",NA,"Healthy",2018-09-26,"Return","Returned Adoption","Allergic to Animal","PAC",NA,NA,2018-10-13,2018-10-13,"Adoption","PAC","PAC","LAFAYETTE HILL","PA",19444,17,"Wed","5bbfd27ad00caf03183b0f4d","cat","2018-10-11 22:45:14",NA,0.72,0.71,0.71,NA,0.72,0.71,"Thu",2018-10-11,"today","myself",TRUE,"0",0,"yes","no-allergies","company","yes",60,2000,3,6,"litter-box-issues","other",0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
"5a9880de70c1c90d5cd466a5","Cat","Domestic Shorthair","Mix","F","Yes",101,"6 to 10 years","Healthy","Healthy",2018-02-28,"Transfer In","Partner Transfer In","Rescue","Grant Avenue","ACCT Philly","Healthy",2018-03-01,2018-03-01,"Adoption","Grant Avenue","Grant Avenue","PHILADELPHIA","PA",19114,1,"Wed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5b6f6856139ee337c47f7475","Cat","Domestic Shorthair","Mix","F","Yes",114,"1 to 2 years","Healthy","Healthy",2018-08-12,"Return","Returned Adoption","Moving","Grays Ferry Avenue",NA,"Healthy",2018-08-22,2018-08-22,"Adoption","PAC","PAC","PHILADELPHIA","PA",19103,10,"Sun",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5b032148d1b6f62a84550ce0","Cat","Domestic Shorthair","Mix","F","Yes",114,"1 to 2 years","Healthy","Healthy",2018-08-07,"Return","Returned Adoption","Death of Owner / Family","PAWS Foster Program",NA,"Healthy",2018-08-07,2018-08-07,"Adoption","Foster Home","PAWS Foster Program","PHILADELPHIA","PA",19152,0,"Tue","5b032148d1b6f62a84550ce0","cat","2018-05-21 19:43:04",NA,0.02,0.02,0.02,NA,0.02,0.02,"Mon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5bd38aff56889b2c292ad464","Dog","Shih Tzu",NA,"M","Yes",160,"4 to 6 years","Healthy","Healthy",2018-10-10,"Return","Returned Adoption","Too Old","PAC",NA,"Healthy",2018-10-28,2018-10-28,"Adoption","PAC","PAC","PHILADELPHIA","PA",19148,18,"Wed","5bd38aff56889b2c292ad464","dog","2018-10-26 21:45:35",NA,0,0,0,NA,0,0,"Fri",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5c26829dbe33875ec2900646","Dog","Shih Tzu","Mix","M","Yes",96,"12 weeks to 6 months",NA,"Healthy",2018-12-13,"Owner/Guardian Surrender","In Person Surrender to Shelter","Personal Problems","Grays Ferry Avenue",NA,NA,2018-12-30,2018-12-30,"Adoption","PAC","PAC","PHILADELPHIA","PA",19148,17,"Thu","5c26829dbe33875ec2900646","dog","2018-12-28 20:07:57",NA,0,0,0,NA,0,0,"Fri",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
